year,county,port,port_label,is_named_port,kgs,dollars,measure_class
2018,Annapolis,Battery Point,Battery Point,1,,,both_blank
2018,Annapolis,Delaps Cove,Delaps Cove,1,,,both_blank
2018,Annapolis,Hampton,Hampton,1,,,both_blank
2018,Annapolis,Margaretsville,Margaretsville,1,,,both_blank
2018,Annapolis,Other,Other (Annapolis),0,68712.08,3897003.92,both_present
2018,Annapolis,Parkers Cove,Parkers Cove,1,351898.48,5507880.74,both_present
2018,Annapolis,Port Lorne,Port Lorne,1,,,both_blank
2018,Antigonish,Arisaig,Arisaig,1,175332.35,1992161.04,both_present
2018,Antigonish,Aulds Cove,Aulds Cove,1,,,both_blank
2018,Antigonish,Ballantynes Cove,Ballantynes Cove,1,341151.30,2779365.38,both_present
2018,Antigonish,Barrios Beach,Barrios Beach,1,,,both_blank
2018,Antigonish,Bayfield,Bayfield,1,,,both_blank
2018,Antigonish,Cribbons Point,Cribbons Point,1,167400.05,2314668.85,both_present
2018,Antigonish,Havre Boucher,Havre Boucher,1,235852.42,3283468.70,both_present
2018,Antigonish,Livingstone,Livingstone,1,,,both_blank
2018,Antigonish,Other,Other (Antigonish),0,,,both_blank
2018,Cape Breton,Alder Point,Alder Point,1,744804.82,9999654.95,both_present
2018,Cape Breton,Crane Cove,Crane Cove,1,,,both_blank
2018,Cape Breton,Gabarus,Gabarus,1,149857.91,2064794.20,both_present
2018,Cape Breton,Glace Bay,Glace Bay,1,4665942.58,26314292.03,both_present
2018,Cape Breton,Lingan,Lingan,1,379104.48,4921640.77,both_present
2018,Cape Breton,Louisbourg,Louisbourg,1,4255067.13,38456242.39,both_present
2018,Cape Breton,Main-A-Dieu,Main-A-Dieu,1,724104.74,9759412.50,both_present
2018,Cape Breton,Marion Bridge,Marion Bridge,1,,,both_blank
2018,Cape Breton,New Waterford,New Waterford,1,,,both_blank
2018,Cape Breton,North Sydney - Ballast Grounds,North Sydney - Ballast Grounds,1,907227.56,8161710.63,both_present
2018,Cape Breton,North Sydney - Marina Breakwater,North Sydney - Marina Breakwater,1,87715.21,416038.06,both_present
2018,Cape Breton,Other,Other (Cape Breton),0,767204.59,7397523.19,both_present
2018,Cape Breton,Oyster Creek,Oyster Creek,1,,,both_blank
2018,Cape Breton,Point Aconi,Point Aconi,1,,,both_blank
2018,Cape Breton,Port Morien,Port Morien,1,1122482.35,15117498.72,both_present
2018,Cape Breton,South Bar,South Bar,1,142395.69,1979152.00,both_present
2018,Cape Breton,Three Stick Cove,Three Stick Cove,1,,,both_blank
2018,Cape Breton,Victoria Bridge,Victoria Bridge,1,,,both_blank
2018,Colchester,Barrachois,Barrachois,1,,,both_blank
2018,Colchester,Five Islands,Five Islands,1,,,both_blank
2018,Colchester,Other,Other (Colchester),0,,,both_blank
2018,Cumberland,Advocate Harbour,Advocate Harbour,1,166684.00,2927377.07,both_present
2018,Cumberland,Apple River,Apple River,1,,,both_blank
2018,Cumberland,Malagash,Malagash,1,,,both_blank
