source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
7253,BPRES-2025-04632,2025-04-24,600,Renovation,Renovation,Completed,HARTLIN SETTLEMENT,District 02,1,1,Dwelling - Backyard Suite,44.76196899313812,-63.006341391575425
7254,BPRES-2025-04663,2025-04-07,35000,New Building,New Building,Completed,WEST CHEZZETCOOK,District 02,0,1,Accessory Structure,44.725224239690384,-63.29113071081991
7255,BPRES-2025-04677,2025-04-07,500000,New Building,New Building,Completed,DEVON,District 01,1,2,Dwelling - Single Detached,44.90166164155873,-63.432697240901575
7256,BPRES-2025-04712,2025-10-30,300000,Addition,Addition,Issued,OAKFIELD,District 01,1,2,Dwelling - Multiple Units,44.90002878810636,-63.57683127444247
7257,BPRES-2025-04750,2025-04-23,15000,Renovation,Renovation,Completed,HALIFAX,District 09,1,4,Dwelling - Multiple Units,44.63924691767185,-63.62772560280226
7258,BPRES-2025-04762,2025-06-20,125000,Addition,Addition,Issued,LAKE LOON,District 04,0,2,Dwelling - Single Detached,44.70646688075696,-63.50452446231018
7259,BPRES-2025-04834,2025-04-11,525000,New Building,New Building,Issued,FALL RIVER,District 01,1,1,Dwelling - Single Detached,44.84269357928549,-63.63555884293605
7260,BPRES-2025-04890,2025-04-09,14000,New Building,New Building,Issued,BEDFORD,District 16,0,1,Accessory Structure,44.73050317092686,-63.64556786511442
7261,BPRES-2025-04932,2025-04-14,30000,New Building,New Building,Completed,PORTERS LAKE,District 02,0,1,Accessory Structure,44.74588498819771,-63.32049298466964
7262,BPRES-2025-04950,2025-05-05,700000,New Building,New Building,Completed,HAMMONDS PLAINS,District 14,1,2,Dwelling - Single Detached,44.698363974877196,-63.804468336099475
7263,BPRES-2025-04956,2025-04-09,500000,New Building,New Building,Completed,BROOKSIDE,District 13,1,1,Dwelling - Single Detached,44.52837537739781,-63.709353133717165
7264,BPRES-2024-17329,2024-12-17,30000,Renovation,Renovation,Completed,HALIFAX,District 11,1,2,Dwelling - Multiple Units,44.60858093593699,-63.6102426644449
7265,BPRES-2024-17374,2024-12-03,100000,New Building,New Building,Completed,WILLIAMSWOOD,District 11,0,1,Accessory Structure,44.53703051120695,-63.654634154274596
7266,BPRES-2024-17414,2024-11-26,500000,New Building,New Building,Completed,,District 06,2,3,Dwelling - Semi-Detached,,
7267,BPRES-2024-17461,2024-11-25,250000,New Building,New Building,Issued,TIMBERLEA,District 12,1,3,Dwelling - Single Detached,44.64475372512313,-63.72628323632948
7268,BPRES-2024-17560,2024-12-03,200000,New Building,New Building,Completed,DARTMOUTH,District 06,1,2,Dwelling - Backyard Suite,44.684649413161154,-63.53426606269679
7269,BPRES-2024-17590,2024-11-27,875000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.705950957012476,-63.72473137201775
7270,BPRES-2024-17611,2026-03-11,20000,Renovation,Renovation,Issued,DARTMOUTH,District 05,1,2,Dwelling - Multiple Units,44.676512875319716,-63.592321466378145
7271,BPRES-2024-17667,2025-03-04,20000,Renovation,Renovation,Completed,HALIFAX,District 10,1,2,Dwelling - Multiple Units,44.653447694838206,-63.638993841528304
7272,BPRES-2024-17700,2024-12-02,80000,New Building,New Building,Issued,FALL RIVER,District 01,0,1,Accessory Structure,44.81463549061166,-63.64284844169566
7273,BPRES-2024-17746,2024-12-02,20000,New Building,New Building,Issued,BEAVER BANK,District 15,0,1,Accessory Structure,44.83285666588847,-63.6656701014144
7274,BPRES-2024-17775,2025-07-02,1197500,New Building,New Building,Completed,LUCASVILLE,District 14,1,1,Dwelling - Single Detached,44.76182704193679,-63.750794292741524
7275,BPRES-2024-17796,2026-03-16,10000,Renovation,Renovation,Completed,HALIFAX,District 11,1,2,Dwelling - Multiple Units,44.63006634006309,-63.61907350902461
7276,BPRES-2024-17833,,30000,Renovation,Renovation,Withdrawn,HALIFAX,District 07,0,2,Dwelling - Semi-Detached,44.63528756656435,-63.5780507358761
7277,BPRES-2024-17864,2024-12-04,400000,New Building,New Building,Completed,HARRIETSFIELD,District 11,1,1,Dwelling - Single Detached,44.55222485278029,-63.64590150646845
7278,BPRES-2024-17902,2024-12-05,300000,New Building,New Building,Completed,DARTMOUTH,District 06,2,2,Dwelling - Semi-Detached,44.71433632733601,-63.5391148621519
7279,BPRES-2024-17935,2024-12-03,350000,New Building,New Building,Completed,BEAVER BANK,District 15,1,2,Dwelling - Single Detached,44.82681391999576,-63.67256646463508
7280,BPRES-2024-17940,2024-12-16,100000,Renovation,Renovation,Issued,DARTMOUTH,District 06,3,2,Dwelling - Multiple Units,44.6826048680298,-63.53445770360207
7281,BPRES-2024-17945,2025-03-25,680000,New Building,New Building,Completed,HALIFAX,District 11,4,2,Dwelling - Multiple Units,44.60294192047462,-63.603445708600745
