project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Highway 118: north bound lane from Micmac Boulevard to 1.0 km south of Exit 13E,2.7,Halifax,Asphalt Projects for 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
"Highway 125: east bound lane from km marker 12 to km marker 19, including ramps",10.2,Cape Breton,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Highway 125: Grand Lake Road Intersection Updgrade,0.0,Cape Breton,Construction/Improvement Projects for 2025-26,Construction 100 Series Highways,2024-2025,2025-2026,Completed,roads
"Highway 125: west bound lane from km marker 19 to km marker 12, including ramps",10.2,Cape Breton,Additional Projects added or moved ahead to 2025-26,Repaving 100 Series Highways,2025-2026,2025-2026,Completed,roads
Hillside Boularderie Road: from Cape Breton county line easterly 3.6 km,3.6,Cape Breton,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Hillvale Drive: from McCallum Drive to end of listing,0.68,Colchester,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Hunter Road: from Trunk 19 to Little Mabou Road,6.52,Inverness,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Irving Young Road: from Millsville Road to end of maintained section,0.9,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Janvrin Harbour Road: from 1.3 km west of Moucliere Bridge westerly to MacDonald Road,2.9,Richmond,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Jersey Cove Road: from Route 312 southerly to end of listing,2.41,Victoria,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
J Jordan Road: from Bains Road northerly to Woodside Road,2.0,Kings,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
John Doucette Road: from Cape St. Marys Road easterly to Trunk 1,2.3,Digby,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Judge Road: from Rosette Road westerly to end of listing,0.5,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Jungle Road: from Route 321 to end of pavement,1.2,Cumberland,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Juniper Drive: from Marydale Drive to end of listing,0.188,Cape Breton,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Kempt Head Road: from Steeles Cross Road easterly,3.4,Victoria,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
King Road: from Route 236 to Cross Road,0.5,Hants,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2026-2027,Started,roads
Lacey Mines Road: from 1.93 km east of Trunk 12 easterly to Trunk 12,1.93,Lunenburg,Asphalt Projects for 2025-26,Double Chip Resurfacing,2025-2026,2025-2026,Completed,roads
Laggan Road: from 6 km south of end of pavement to end of pavement,6.0,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Lake Lawson Road: from Trunk 12 to New Russell Road,2.0,Lunenburg,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Larrys River Road: from 1.5 km south of Mountain Road southerly 5.1 km,5.1,Guysborough,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Larry's River Road: from 2.1 km west of New Harbour Lundy Road easterly,4.0,Guysborough,Asphalt Projects for 2026-27,Asphalt Projects for 2026-27,2026-2027,2026-2027,Planned,roads
Leonard Road: from Trunk 1 northerly to Clarence Road (various sections),1.6,Annapolis,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Linacy Road: from Trunk 4 easterly to Evan MacDonald Road,1.7,Pictou,Asphalt Projects for 2026-27,Double Chip Resurfacing,2026-2027,2026-2027,Planned,roads
Lincolnville Loop: from Trunk 16 to Trunk 16,2.4,Guysborough,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Little Narrows Road: from Route 223 easterly,4.0,Victoria,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Long Cove Road: from end of pavement southerly 2.0 km,2.0,Queens,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Long Cove Road: from Port Medway Road easterly to end of pavement,2.3,Queens,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Loriann Drive: from Trunk 7 to cul de sac,1.044,Halifax,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Lovat Road: from Cameron Road to Limerock Road,5.47,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Lower Branch Road: from Route 331 northerly,2.1,Lunenburg,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Lower Prospect Road: from end of listing northerly to Back Bay Road,2.3,Halifax,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
Mabou Road: from Trunk 19 to Beaton Road,3.03,Inverness,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
MacCharles Cross Road: from Old Margaree Road to Big Baddeck Road,2.47,Victoria,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
MacEachern Road: from Port Royal Road easterly to Route 206,1.0,Richmond,Asphalt Projects for 2025-26,Maintenance Paving,2025-2026,2025-2026,Completed,roads
MacIntosh Road: from end of listing easterly to Trunk 14,1.4,Hants,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
MacKenzie Road: from Black Point Road to end,0.74,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
MacMillan Road: from Mountain Road to end of listing,1.02,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Main Shore Road: from 2.0 km north of Lake Darling Road northerly to beginning of pavement,3.2,Yarmouth,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Main Street (Port Hood): from Trunk 19 to Little Mabou Road,2.34,Inverness,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Malagash Road: from Route 307 easterly 4.4 km,4.4,Cumberland,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Maple Drive: from Marble Mountain Road to Orangedale Road,0.309,Inverness,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
Marble Mountain Road: from Crowdis #1 Truss easterly to end of pavement,3.3,Inverness,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
McCallum Drive: from Trunk 4 to Hillvale Drive,0.119,Colchester,Subdivision Roads (determined in coordination with Municipalities) for 2025-26,Paving Subdivision Roads,2025-2026,2025-2026,Completed,roads
McFetridge Road: from Route 224 to Route 224,2.7,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
McGrath Avenue: from Route 354 to end of listing,2.25,Hants,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2026-2027,Started,roads
McNally Road: from Hamilton Road westerly to Long Point Road,1.8,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
McWilliam Road: from Trunk 2 to Highway 104,1.3,Colchester,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
McWilliam Road North: from Highway 104 northerly to Back Road,0.5,Colchester,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
