community_mix_rank,community,classes,total_area,dominant_class,largest_class_share,mix_index
31,HACKETTS COVE,4,1.7460,Mixed Use,56.69,43.31
32,LAKE LOON,5,2.6661,Residential,56.70,43.30
33,HERRING COVE,5,5.9312,Park and Open Space,56.92,43.08
34,PORT DUFFERIN,2,0.3578,Park and Open Space,57.00,43.00
35,SHAD BAY,6,1.9497,Rural and Resource,58.12,41.88
36,BLIND BAY,4,7.9730,Rural and Resource,58.31,41.69
37,PROSPECT,6,4.0595,Rural and Resource,58.42,41.58
38,BEAVER BANK,8,57.6659,Rural and Resource,58.63,41.37
39,OSTREA LAKE,2,3.9532,Park and Open Space,60.16,39.84
40,STILLWATER LAKE,4,2.8594,Residential,60.43,39.57
41,SEABRIGHT,3,3.3105,Mixed Use,61.59,38.41
42,HEAD OF ST MARGARETS BAY,5,10.1799,Mixed Use,61.69,38.31
43,PLEASANT HARBOUR,2,2.8184,Rural and Resource,61.92,38.08
44,EAST DOVER,4,2.2193,Rural and Resource,61.96,38.04
45,UPPER HAMMONDS PLAINS,3,26.3189,Park and Open Space,61.98,38.02
46,FALL RIVER,6,20.0334,Residential,62.08,37.92
47,GAETZ BROOK,4,6.8976,Rural and Resource,62.11,37.89
48,MUSQUODOBOIT HARBOUR,5,53.4277,Park and Open Space,62.58,37.42
49,EAST PRESTON,4,42.0105,Park and Open Space,63.03,36.97
50,SPRY BAY,2,8.9143,Park and Open Space,63.25,36.75
51,FERGUSONS COVE,3,0.8248,Residential,63.41,36.59
52,WHITES LAKE,7,11.3924,Residential,63.89,36.11
53,GRAND LAKE,5,2.4658,Residential,63.95,36.05
54,CLAM HARBOUR,2,1.8402,Park and Open Space,64.14,35.86
55,COW BAY,4,6.9732,Rural and Resource,64.40,35.60
