community,zone_class,polygons,area,area_share
LOWER SACKVILLE,Rural and Resource,17,1.6916,17.91
LOWER SHIP HARBOUR,Mixed Use,2,23.8900,100.00
LOWER THREE FATHOM HARBOUR,Rural and Resource,1,0.0012,100.00
LUCASVILLE,Industrial,2,0.0202,0.20
LUCASVILLE,Mixed Use,8,8.8301,88.09
LUCASVILLE,Park and Open Space,6,0.0556,0.55
LUCASVILLE,Rural and Resource,8,1.1183,11.16
MALAY FALLS,Rural and Resource,1,148.2407,100.00
MARINETTE,Rural and Resource,1,0.0936,100.00
MCGRATHS COVE,Park and Open Space,3,0.0051,1.81
MCGRATHS COVE,Rural and Resource,3,0.2767,98.19
MCNABS ISLAND,Park and Open Space,9,2.6952,100.00
MEAGHERS GRANT,Mixed Use,8,188.4883,96.71
MEAGHERS GRANT,Other,1,3.1995,1.64
MEAGHERS GRANT,Park and Open Space,7,3.2209,1.65
MIDDLE MUSQUODOBOIT,Institutional,1,0.0264,0.18
MIDDLE MUSQUODOBOIT,Mixed Use,2,10.9305,73.40
MIDDLE MUSQUODOBOIT,Other,1,3.7387,25.11
MIDDLE MUSQUODOBOIT,Park and Open Space,2,0.1951,1.31
MIDDLE PORTERS LAKE,Rural and Resource,5,0.1458,100.00
MIDDLE SACKVILLE,Commercial,19,0.1453,0.95
MIDDLE SACKVILLE,Institutional,9,0.1663,1.09
MIDDLE SACKVILLE,Mixed Use,11,2.4622,16.08
MIDDLE SACKVILLE,Other,11,0.7208,4.71
MIDDLE SACKVILLE,Park and Open Space,30,0.8805,5.75
MIDDLE SACKVILLE,Residential,120,5.9539,38.89
MIDDLE SACKVILLE,Rural and Resource,62,4.9813,32.54
MINEVILLE,Commercial,1,0.0402,0.24
MINEVILLE,Residential,25,2.1035,12.50
MINEVILLE,Rural and Resource,15,14.6880,87.26
MITCHELL BAY,Park and Open Space,9,1.1705,67.54
MITCHELL BAY,Rural and Resource,10,0.5626,32.46
MONTAGUE GOLD MINES,Industrial,2,1.0785,13.03
MONTAGUE GOLD MINES,Park and Open Space,3,6.5063,78.59
MONTAGUE GOLD MINES,Residential,20,0.3654,4.41
MONTAGUE GOLD MINES,Rural and Resource,3,0.3287,3.97
MOOSE RIVER GOLD MINES,Park and Open Space,1,0.0276,100.00
MOOSEHEAD,Park and Open Space,3,0.0843,5.76
MOOSEHEAD,Rural and Resource,6,1.3790,94.24
MOOSELAND,Rural and Resource,4,0.0421,100.00
MOSER RIVER,Park and Open Space,1,0.4757,0.16
MOSER RIVER,Rural and Resource,4,300.3875,99.84
MURCHYVILLE,Mixed Use,1,166.6571,99.71
MURCHYVILLE,Park and Open Space,1,0.4930,0.29
MURPHY COVE,Park and Open Space,28,4.4228,13.43
MURPHY COVE,Rural and Resource,23,28.5165,86.57
MUSHABOOM,Park and Open Space,6,0.4331,17.52
MUSHABOOM,Rural and Resource,12,2.0394,82.48
MUSQUODOBOIT HARBOUR,Industrial,1,0.1421,0.27
MUSQUODOBOIT HARBOUR,Mixed Use,39,19.6569,36.79
