"facility_name","address","town","postal_code","facility_type","nursing_homes_nh_no_of_beds","nursing_homes_nh_no_of_respite_beds","residential_care_facilities_rcf_no_of_beds","rcf_respite_beds","single_entry_access_sea_participating","x_coordinate","y_coordinate","location","zone","the_geom","facility_id"
"Northside Community Guest Home","11 Queen Street","North Sydney","B2A 1A2","Nursing Home","144.0","0.0","0.0","0.0","Y","-60.26263","46.195008","
,  
(46.195008, -60.26263)","Eastern","POINT (711211.4101999998 5119356.501499999)","NCGH"
"Northside General Hospital (4 East)","520 Purves Street","North Sydney","B2A 1E3","Nursing Home","11.0","0.0","0.0","0.0","Y","-60.235551","46.218208","
,  
(46.218208, -60.235551)","Eastern","POINT (713211.0603999998 5122005.829500001)","NGHE"
"Northumberland Hall Continuing Care Residence","189 Willow Street","Amherst","B4H 3W6","Nursing Home","36.0","0.0","0.0","0.0","Y","-64.189636","45.829351","
,  
(45.829351, -64.189636)","Northern","POINT (407601.1841000002 5075774.420700001)","NHCC"
"Nakile Home for Special Care","35 Nakile Drive","Glenwood","B0W 1W0","Nursing Home","47.0","1.0","0.0","0.0","Y","-65.861737","43.791229","
,  
(43.791229, -65.861737)","Western","POINT (269755.6810999997 4852665.2829)","NHSC"
"North Queens Nursing Home","9565 Highway 8","Caledonia","B0T 1B0","Nursing Home","43.0","1.0","0.0","0.0","Y","-65.014813","44.376464","
,  
(44.376464, -65.014813)","Western","POINT (339488.2167999996 4915660.1896)","NQNH"
"Northumberland Veterans Unit (Sutherland Harris Memorial Hospital)","222 Haliburton Road","Pictou","B0K 1H0","Nursing Home","17.0","0.0","0.0","0.0","Y","-62.727032","45.676515","
,  
(45.676515, -62.727032)","Northern","POINT (521259.0119000003 5058141.955600001)","NSHM"
"New Vision Special Care Homes","4507 Highway 1","South Berwick","B0P 1E0","Residential Care Facility","0.0","0.0","21.0","0.0","Y","-64.723272","45.03433","
,  
(45.03433, -64.723272)","Western","POINT (364260.8934000004 4988207.0589000005)","NVSC"
"Northwood Bedford Incorporated - Christina & Hedley G. Ivany Place","123 Gary Martin Drive","Bedford","B4B 0G7","Nursing Home","156.0","0.0","0.0","0.0","Y","-63.706266","44.723717","
,  
(44.723717, -63.706266)","Central","POINT (444068.3957000002 4952501.2732)","NWBI"
"Northwood Incorporated","2615 Northwood Terrace","Halifax","B3K 3S5","Nursing Home and Residential Care Facility","345.0","0.0","40.0","0.0","Y","-63.592047","44.657181","
,  
(44.657181, -63.592047)","Central","POINT (453060.0493000001 4945038.1347)","NWHX"
"Olson's Glo Estate Home For Special Care","143 Highway 304","Yarmouth","B5A 4J7","Residential Care Facility","0.0","0.0","8.0","0.0","Y","-66.127606","43.848281","
,  
(43.848281, -66.127606)","Western","POINT (248603.38410000037 4859776.478800001)","OLGE"
"Opal Ridge Hall","189 Opalridge Drive","Dartmouth","B2Y 0H9","Nursing Home","144.0","0.0","0.0","0.0","Y","-63.540591","44.673421","
,  
(44.673421, -63.540591)","Central","POINT (457151.7631000001 4946813.2992)","OPRH"
"Orchard Court Continuing Care Residence","155 River Street","Kentville","B4N 1G8","Nursing Home","62.0","0.0","0.0","0.0","Y","-64.503172","45.079061","
,  
(45.079061, -64.503172)","Western","POINT (381690.05009999964 4992831.578299999)","ORCT"
"Ocean View Manor","1909 Caldwell Road","Eastern Passage","B3G 1J3","Nursing Home","170.0","1.0","0.0","0.0","Y","-63.469948","44.606621","
,  
(44.606621, -63.469948)","Central","POINT (462708.1292000003 4939358.6395)","OVMN"
"Oakwood Terrace","10 Mount Hope Avenue","Dartmouth","B2Y 4K1","Nursing Home","111.0","0.0","0.0","0.0","Y","-63.544518","44.65353","
,  
(44.65353, -63.544518)","Central","POINT (456825.6228 4944605.975199999)","OWTR"
"Mary's Court - Parkland Antigonish","153 Highway 337 Antigonish Landing","Antigonish","B2G 0G5","Nursing Home","25.0","0.0","0.0","0.0","Y","-61.979728","45.632401","
,  
(45.632401, -61.979728)","Eastern","POINT (579523.2412 5053711.392000001)","PAMH"
"Pont du Marais Boarding Home","1526 Highway 335","Lower West Pubnico","B0W 2C0","Residential Care Facility","0.0","0.0","21.0","2.0","N","-65.801875","43.638214","
,  
(43.638214, -65.801875)","Western","POINT (273997.05819999985 4835504.964199999)","PDMR"
"Precision Health - 21 Kincardine Street","21 Kincardine Drive","Dartmouth","B2X 1H7","Residential Care Facility","0.0","0.0","4.0","0.0","Y","-63.536191","44.690786","
,  
(44.690786, -63.536191)","Central","POINT (457512.93489999976 4948740.476600001)","PHKA"
"Precision Health - 24 Kincardine Street","24 Kincardine Drive","Dartmouth","B2X 1H9","Residential Care Facility","0.0","0.0","3.0","0.0","Y","-63.537087","44.691426","
,  
(44.691426, -63.537087)","Central","POINT (457442.4451000001 4948811.925000001)","PHKB"
"Port Hawkesbury Nursing Home","2 MacQuarrie Drive Extension","Port Hawkesbury","B9A 3A2","Nursing Home and Residential Care Facility","59.0","1.0","6.0","0.0","Y","-61.353777","45.619351","
,  
(45.619351, -61.353777)","Eastern","POINT (628341.4587000003 5053073.286599999)","PHNH"
"Precision Health - 16 Rannoch Road","16 Rannoch Road","Dartmouth","B2X 1J6","Residential Care Facility","0.0","0.0","3.0","0.0","Y","-63.535633","44.690664","
,  
(44.690664, -63.535633)","Central","POINT (457557.0576999998 4948726.1895)","PHRR"
"Precision Health - Washmill Lake Drive Apartments","599 Washmill Lake Drive","Halifax","B3S 0G8","Residential Care Facility","0.0","0.0","20.0","0.0","Y","-63.653668","44.650058","
,  
(44.650058, -63.653668)","Central","POINT (448167.9955000002 4944284.684)","PHWL"
"Glasgow Hall - Parkland at the Lakes","76 Baker Dr","Dartmouth","B2W 0C7","Nursing Home","72.0","0.0","0.0","0.0","Y","-63.530633","44.665716","
,  
(44.665716, -63.530633)","Central","POINT (457935.51939999964 4945952.343900001)","PLGH"
"Peter's Place - Community Rehabilitation (Halifax)","12 Swan Crescent","Halifax","B3M 1T6","Residential Care Facility","0.0","0.0","4.0","0.0","Y","-63.65843","44.669059","
,  
(44.669059, -63.65843)","Central","POINT (447807.5263 4946398.145300001)","PPHX"
"Peter's Place - Community Rehabilitation (Pleasantville)","326 Huey Lake Road","West Dublin","B0R 1G0","Residential Care Facility","0.0","0.0","6.0","0.0","Y","-64.416155","44.257922","
,  
(44.257922, -64.416155)","Western","POINT (386953.6127000004 4901494.505000001)","PPPV"
"Parkstone Enhanced Care","156 Parkland Drive","Halifax","B3S 1N9","Nursing Home","220.0","2.0","0.0","0.0","Y","-63.672073","44.663383","
,  
(44.663383, -63.672073)","Central","POINT (446720.7954000002 4945776.145400001)","PSEC"
"Queens Manor","20 Hollands Drive","Liverpool","B0T 1K0","Nursing Home","61.0","0.0","0.0","0.0","Y","-64.706791","44.036176","
,  
(44.036176, -64.706791)","Western","POINT (363241.8085000003 4877305.511)","QNMN"
"R.C. MacGillivray Guest Home","25 Xavier Drive","Sydney","B1S 2R9","Nursing Home","106.0","1.0","0.0","0.0","Y","-60.194255","46.123566","
,  
(46.123566, -60.194255)","Eastern","POINT (716767.7341999998 5111603.284499999)","RCMG"
