objectid,area_name,designation,authority,owner,status,hectares,designation_year,record_rank
466,Tusket River Wilderness Area,"Wilderness Area, Conservation Easement","NS Environment and Climate Change, Nova Scotia Nature Trust",NS Environment and Climate Change,Designated,28.52,,505
1041,North Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,28.44,,506
433,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.35,,507
160,Johnstons Pond Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.23,,508
843,Herbert River Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust and private owner(s),Private owner(s),Considered protected,28.18,,509
634,Ohio River Nature Reserve,Nature Reserve,NS Environment and Climate Change,NS Environment and Climate Change,Designated,28.16,,510
416,Chignecto Isthmus Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.14,,511
509,Silver River - Long Tusket Lake Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.02,,512
401,Pugwash River Estuary Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,28.00,,513
839,Port Joli Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.98,,514
950,Carleton River Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.85,,515
1079,Charlesville Conservation Lands,Land Trust or Conservation Easement,Ducks Unlimited Canada,Ducks Unlimited Canada,Considered protected,27.81,,516
703,Mabou Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,27.78,,517
325,Monks Head Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.77,,518
329,Round Bay Conservation Lands,Land Trust or Conservation Easement,Nature Conservancy of Canada,Nature Conservancy of Canada,Considered protected,27.66,,519
1043,North Highlands Conservation Lands,Land Trust or Conservation Easement,Nova Scotia Nature Trust,Nova Scotia Nature Trust,Considered protected,27.62,,520
