"objectid","pro_name","protect1","protect2","owner","authority","status","stat_date","lgl_effect","ha_gis","shape_leng","shape_area"
"615","MacDonalds Pond Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"36.90556235","3765.4161637524467","369055.62352046906"
"616","MacLeod Brook Nature Reserve","Nature Reserve",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"120.90179593","5629.766191756657","1209017.9592681483"
"617","Laybolt Island Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"55.62315291","9519.755958459944","556231.5290913881"
"618","Gaff Point Conservation Lands","Land Trust or Conservation Easement",,"Kingsburg Coastal Conservancy","Kingsburg Coastal Conservancy","Considered protected",,,"3.46429186","875.093463022254","34642.918648173385"
"619","Hog Lake Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"23.27942318","3854.051254517044","232794.2317691514"
"620","Pu'tlaqne'katik","Wilderness Area, Conservation Easement",,"NS Environment and Climate Change","NS Environment and Climate Change","Designated",,,"30.52090786","2466.6853616210665","305209.07856160915"
"621","Upper Ohio Conservation Lands","Land Trust or Conservation Easement",,"Nature Conservancy of Canada","Nature Conservancy of Canada","Considered protected",,,"37.57304531","2822.265261734161","375730.4530501232"
"622","Port LaTour Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"106.56599897","8033.860067613014","1065659.9896993423"
"623","Port LaTour Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"11.06036211","1611.0105877473673","110603.62110036462"
"624","Port LaTour Conservation Lands","Land Trust or Conservation Easement",,"Nova Scotia Nature Trust","Nova Scotia Nature Trust","Considered protected",,,"21.19165228","2028.3552928205843","211916.52284993712"
