"year","zone","type","site","temporary","scheduled","total"
"2014-15","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2014-15","3","Community","Eastern Memorial Hospital","80.0","0.0","80.0"
"2014-15","3","Community","Guysborough Memorial Hospital","0.0","0.0","0.0"
"2014-15","3","Community","St. Anne Community & Nursing Care Centre","901.0","0.0","901.0"
"2014-15","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2014-15","3","Community","Strait Richmond Hospital","351.0","0.0","351.0"
"2014-15","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2014-15","3","Community","Glace Bay Health Care Facility","1711.0","693.0","2404.0"
"2014-15","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2014-15","3","Community","Victoria County Memorial Hospital","48.0","0.0","48.0"
"2014-15","3","Community","Northside General Hospital","915.0","3876.0","4791.0"
"2014-15","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2014-15","3","CEC","New Waterford Consolidated Hospital","456.0","3538.0","3994.0"
"2014-15","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2014-15","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2014-15","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2014-15","4","Community","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2014-15","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2014-15","4","CEC","Musquodoboit Valley Memorial Hospital","0.0","4380.0","4380.0"
"2014-15","4","CEC","Twin Oaks Memorial Hospital","139.0","0.0","139.0"
"2014-15","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2013-14","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2013-14","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2013-14","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2013-14","1","Community","Digby General Hospital","276.0","0.0","276.0"
"2013-14","1","Community","Fishermen’s Memorial Hospital","298.0","3293.0","3591.0"
"2013-14","1","Community","Roseway","117.0","0.0","117.0"
"2013-14","1","Community","Soldiers Memorial Hospital","72.0","0.0","72.0"
"2013-14","1","Community","Queens General Hospital","4.0","0.0","4.0"
"2013-14","1","CEC","Annapolis Community Health Centre","165.0","0.0","165.0"
"2013-14","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2013-14","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2013-14","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2013-14","2","CEC","All Saints Springhill Hospital","85.0","0.0","85.0"
"2013-14","2","CEC","North Cumberland Memorial Hospital","68.0","0.0","68.0"
"2013-14","2","CEC","South Cumberland Community Care Centre","41.0","0.0","41.0"
"2013-14","2","CEC","Lillian Fraser Memorial Hospital","123.0","0.0","123.0"
"2013-14","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2013-14","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2013-14","3","Community","Eastern Memorial Hospital","0.0","0.0","0.0"
"2013-14","3","Community","Guysborough Memorial Hospital","0.0","0.0","0.0"
"2013-14","3","Community","St. Anne Community & Nursing Care Centre","0.0","0.0","0.0"
"2013-14","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2013-14","3","Community","Strait Richmond Hospital","154.0","0.0","154.0"
"2013-14","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2013-14","3","Community","Glace Bay Health Care Facility","1050.0","0.0","1050.0"
"2013-14","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2013-14","3","Community","Victoria County Memorial Hospital","0.0","0.0","0.0"
"2013-14","3","Community","Northside General Hospital","1028.0","0.0","1028.0"
"2013-14","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2013-14","3","CEC","New Waterford Consolidated Hospital","1674.0","2670.0","4344.0"
"2013-14","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2013-14","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2013-14","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2013-14","4","Community","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2013-14","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2013-14","4","CEC","Musquodoboit Valley Memorial Hospital","0.0","4392.0","4392.0"
"2013-14","4","CEC","Twin Oaks Memorial Hospital","45.0","0.0","45.0"
"2013-14","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
"2012-13","1","Regional","South Shore Regional Hospital","0.0","0.0","0.0"
"2012-13","1","Regional","Yarmouth Regional Hospital","0.0","0.0","0.0"
"2012-13","1","Regional","Valley Regional Hospital","0.0","0.0","0.0"
"2012-13","1","Community","Digby General Hospital","696.0","0.0","696.0"
"2012-13","1","Community","Fishermen’s Memorial Hospital","110.0","3285.0","3395.0"
"2012-13","1","Community","Roseway","0.0","0.0","0.0"
"2012-13","1","Community","Soldiers Memorial Hospital","516.0","0.0","516.0"
"2012-13","1","Community","Queens General Hospital","0.0","0.0","0.0"
"2012-13","1","CEC","Annapolis Community Health Centre","94.0","0.0","94.0"
"2012-13","2","Regional","Colchester East Hants Health Centre","0.0","0.0","0.0"
"2012-13","2","Regional","Cumberland Regional Health Care Centre","0.0","0.0","0.0"
"2012-13","2","Regional","Aberdeen Hospital","0.0","0.0","0.0"
"2012-13","2","CEC","All Saints Springhill Hospital","71.0","0.0","71.0"
"2012-13","2","CEC","North Cumberland Memorial Hospital","627.0","0.0","627.0"
"2012-13","2","CEC","South Cumberland Community Care Centre","38.0","0.0","38.0"
"2012-13","2","CEC","Lillian Fraser Memorial Hospital","332.0","0.0","332.0"
"2012-13","3","Regional","Cape Breton Regional Hospital","0.0","0.0","0.0"
"2012-13","3","Regional","St. Martha’s Regional Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Eastern Memorial Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Guysborough Memorial Hospital","0.0","0.0","0.0"
"2012-13","3","Community","St. Anne Community & Nursing Care Centre","0.0","0.0","0.0"
"2012-13","3","Community","St. Mary’s Memorial Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Strait Richmond Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Buchanan Memorial Health Centre","0.0","0.0","0.0"
"2012-13","3","Community","Glace Bay Health Care Facility","541.0","0.0","541.0"
"2012-13","3","Community","Inverness Consolidated Memorial Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Victoria County Memorial Hospital","0.0","0.0","0.0"
"2012-13","3","Community","Northside General Hospital","882.0","510.0","1392.0"
"2012-13","3","Community","Sacred Heart Community Health Centre","0.0","0.0","0.0"
"2012-13","3","CEC","New Waterford Consolidated Hospital","2886.0","510.0","3396.0"
"2012-13","4","Tertiary","QEII Health Sciences Centre","0.0","0.0","0.0"
"2012-13","4","Regional","Dartmouth General Hospital","0.0","0.0","0.0"
"2012-13","4","Community","Cobequid Community Health Centre","0.0","0.0","0.0"
"2012-13","4","Community","Eastern Shore Memorial Hospital","0.0","0.0","0.0"
"2012-13","4","Community","Hants Community Hospital","0.0","0.0","0.0"
"2012-13","4","CEC","Musquodoboit Valley Memorial Hospital","0.0","3913.0","3913.0"
"2012-13","4","CEC","Twin Oaks Memorial Hospital","72.0","0.0","72.0"
"2012-13","IWK","Tertiary","IWK Health Centre","0.0","0.0","0.0"
