"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2024_q2",,"Spinal Cord Stimulation Surgery",,"Total","Provincial","2024","2",,,"114","149"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Shih, Warren W",,,,,"73","91","161","345"
"2024_q2",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 3","St. Martha's Regional","2024","2",,,"43","49"
"12month_rolling","Otolaryngology (ENT)","All","Wasl, Hisham Ali",,,,,"66","117","350","468"
"2023_q2",,"Foot - Arthrodesis",,"Zone 4","QE2","2023","2","757","938","101","366"
"2023_q3",,"Brain Surgery  (Adult)",,"Zone 4","QE2","2023","3","58","651","47","138"
"12month_rolling","Urology","Prostate Surgery","Puthenparumpil, Jacob",,,,,"26","26","143","202"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Pediatric)","Taylor, Benjamin A",,,,,"292","331","182","287"
"12month_rolling","Ophthalmology","All","Comstock, David",,,,,"144","187","29","85"
"2023_q4",,"Foot - Bunionectomy",,"Total","Provincial","2023","4",,,"144","799"
"2024_q4",,"Cystoscopy",,"Total","Provincial","2024","4","37","173","41","166"
"3month_rolling",,"Carpal Tunnel Surgery",,"Zone 2","Aberdeen Hospital","2025","2","52","209","29","94"
"2024_q3",,"Male Reproductive System Surgery",,"Zone 1","Valley Regional","2024","3",,,"135","214"
"12month_rolling","Dental","Dental Extractions and Restorations  (Pediatric)","Dietrich, Lindsay",,,,,,,"194","354"
"2023_q2",,"Surgery for Hearing or Balance Problems of the Ear",,"IWK","IWK","2023","2","111","169","83","186"
"12month_rolling",,"Bariatric Surgery (for Weight Loss)",,"Zone 4","Dartmouth General","2025","2","63","201","179","277"
"2023_q4",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","QE2","2023","4","41","90","124","195"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Adult)","Balys, Richard L",,,,,"120","163","81","498"
"3month_rolling",,"Gallbladder Surgery",,"Zone 3","Cape Breton Regional","2025","2","43","433","49","134"
"12month_rolling",,"Hip Arthroscopy",,"Zone 4","QE2","2025","2",,,"294","1380"
"2024_q4",,"Dental Extractions and Restorations  (Adult)",,"IWK","IWK","2024","4",,,"551","701"
"2023_q4",,"Carpal Tunnel Surgery",,"Zone 1","Valley Regional","2023","4",,,"220","335"
"12month_rolling","Orthopaedic","Hip Replacement","Sequeira, Stanislaus",,,,,"160","179","332","518"
"12month_rolling","Plastic Surgery","Breast Reduction Surgery","Corkum, Joseph",,,,,"350","509","54","94"
"2023_q4",,"Hysteroscopy",,"Zone 1","Valley Regional","2023","4","43","280","66","298"
"2023_q3",,"Surgery for Hearing or Balance Problems of the Ear",,"Zone 1","Yarmouth Regional","2023","3","113","682","40","102"
"2024_q4",,"Lung Cancer Surgery",,"Total","Provincial","2024","4","22","55","23","65"
"2023_q4",,"Hernia Repair - Umbilical",,"Zone 4","QE2","2023","4","77","86",,
"2024_q1",,"Endometrial Ablation",,"Zone 2","Aberdeen Hospital","2024","1",,,"29","176"
"2025_q1",,"Tonsillectomy and/or Adenoidectomy  (Adult)",,"Total","Provincial","2025","1","51","404","115","469"
"12month_rolling",,"Osteotomy",,"IWK","IWK","2025","2",,,"171","364"
"12month_rolling","Orthopaedic","Knee Replacement","Gross, Michael",,,,,"189","343","68","100"
"2023_q3",,"Pelvic Floor Repair",,"IWK","IWK","2023","3","137","637","119","218"
"2024_q4",,"Hernia Repair - Inguinal/Femoral",,"Zone 1","Yarmouth Regional","2024","4","22","99","62","127"
"2024_q4",,"Hernia Repair - Laparoscopic Umbilical",,"Total","Provincial","2024","4","518","620","132","213"
"2024_q4",,"Hysterectomy  (Cancer Not Suspected)",,"IWK","IWK","2024","4","168","1023","193","433"
"3month_rolling",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","St. Martha's Regional","2025","2","84","116","39","83"
"2024_q3",,"Lymph Node Biopsy",,"Zone 4","QE2","2024","3","18","41","29","85"
"2023_q3",,"Gallbladder Surgery",,"Total","Provincial","2023","3","49","232","55","153"
"2023_q4",,"Prostate Cancer Surgery",,"Total","Provincial","2023","4","24","118","120","233"
"2024_q1",,"Ear Tubes  (Pediatric)",,"Total","Provincial","2024","1","88","271","84","189"
"12month_rolling","Ophthalmology","Strabismus Surgery  (Pediatric)","Bata, Bashar",,,,,"88","111","145","405"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Suspected or Proven)","Houck, Leslie",,,,,"188","271","35","61"
"2025_q2",,"Male Circumcision  (Adult)",,"Zone 1","Valley Regional","2025","2",,,"40","122"
"2025_q2",,"Nerve Surgery",,"Zone 4","QE2","2025","2","104","161","51","144"
"12month_rolling","Ophthalmology","Cataract Surgery","Hamilton, Claire",,,,,"223","315","65","184"
"12month_rolling","Otolaryngology (ENT)","Surgery for Hearing or Balance Problems of the Ear","Johnson, Liane",,,,,"74","326","93","157"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Murray, Angus",,,,,"88","147","47","82"
"2024_q1",,"Breast Reconstruction",,"Total","Provincial","2024","1","144","283","79","1078"
"3month_rolling",,"Breast Reduction Surgery",,"Total","Provincial","2025","2","213","2121","157","625"
"2023_q2",,"Cystoscopy",,"Zone 1","Yarmouth Regional","2023","2","34","499","57","357"
"3month_rolling",,"Melanoma Excision",,"Total","Provincial","2025","2","14","57","21","34"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","Clark, F Donald",,,,,"14","32","72","80"
"2023_q2",,"Hernia Repair - Incisional",,"Zone 4","QE2","2023","2","248","426","150","552"
"2024_q1",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 2","Cumberland Regional","2024","1","26","108","61","127"
"2024_q2",,"AV Fistula Creation/Closure",,"Zone 4","QE2","2024","2",,,"17","136"
"12month_rolling","Orthopaedic","Hip Replacement","Dunbar, Michael J",,,,,"57","79","200","495"
"12month_rolling","General Surgery","All","Hiebert, Stephanie",,,,,"22","57","37","210"
"2023_q2",,"Pacemaker Insertion",,"Zone 2","Aberdeen Hospital","2023","2",,,"22","49"
"2024_q1",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Total","Provincial","2024","1","168","275","138","308"
"2024_q3",,"Insertion Vascular Access Catheter",,"Zone 1","Yarmouth Regional","2024","3",,,"9","12"
"2024_q2",,"Cardiac Valve Replacement",,"Total","Provincial","2024","2",,,"53","106"
"12month_rolling","Thoracic Surgery","Gastric Surgery - Laparoscopic","Ednie, Alexander",,,,,"57","110","56","138"
"2024_q4",,"Prostate Surgery",,"Zone 4","Dartmouth General","2024","4","79","289","89","271"
"2025_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Total","Provincial","2025","1","75","497","108","356"
"2023_q4",,"Bowel Resection",,"Zone 1","Yarmouth Regional","2023","4",,,"18","97"
"3month_rolling",,"Hysterectomy  (Cancer Not Suspected)",,"Total","Provincial","2025","2","97","555","85","313"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Blackmore, Christopher",,,,,"45","138","65","135"
"2024_q4",,"Knee Scope",,"Zone 4","Hants Community Hospital","2024","4","49","105","81","330"
"12month_rolling","Ophthalmology","Cataract Surgery","Lampert Monte Francisconi, Carolina",,,,,"65","588","130","345"
"12month_rolling","Urology","Cystoscopy","Keefe, Daniel",,,,,"71","114","49","361"
"2023_q2",,"Amputations",,"Total","Provincial","2023","2","22","92","32","120"
"12month_rolling","Cardiac Surgery","Cardiovascular Surgery","Herman, Christine",,,,,,,"54","80"
"12month_rolling","Thoracic Surgery","Gastric Surgery - Laparoscopic","Wallace, Alison",,,,,"238","401","139","1381"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Hoogerboord, C Marius",,,,,"36","435","32","60"
"2023_q2",,"Breast Cancer Surgery",,"Zone 2","Colchester East Hants Health Centre","2023","2","10","16","21","37"
"2023_q4",,"Hernia Repair  (Adult)",,"Zone 2","Colchester East Hants Health Centre","2023","4","43","144","110","304"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Adult)","Kujath, Magdalena",,,,,"66","171","413","491"
"2023_q2",,"Prostate Surgery",,"Zone 4","Dartmouth General","2023","2","42","124","108","377"
"12month_rolling","Plastic Surgery","Palmar Fascia Excision for Dupuytren's Disease","Davis, George R",,,,,"71","665","72","299"
"12month_rolling","General Surgery","Pancreas Surgery","Walsh, Mark J",,,,,"13","25","35","63"
"2024_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 3","Cape Breton Regional","2024","1","51","243","357","535"
"2024_q1",,"Gallbladder Surgery",,"Zone 1","Valley Regional","2024","1","35","517","54","204"
"12month_rolling","Otolaryngology (ENT)","Surgery for Hearing or Balance Problems of the Ear","Clifton, Neil",,,,,"59","178","36","85"
"2023_q3",,"Cystoscopy",,"IWK","IWK","2023","3",,,"56","140"
"2025_q1",,"Septoplasty",,"Zone 1","Valley Regional","2025","1","349","753","250","347"
"2024_q4",,"Cataract Surgery",,"Zone 3","St. Martha's Regional","2024","4","172","343","110","188"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Marais, Colin",,,,,"41","342","38","103"
"3month_rolling",,"Nerve Surgery",,"Zone 4","QE2","2025","2","104","161","51","144"
"2024_q3",,"Hernia Repair  (Adult)",,"Total","Provincial","2024","3","80","428","85","294"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Archibald, Alison",,,,,"14","55","12","35"
"2023_q2",,"Knee Scope",,"Zone 4","Hants Community Hospital","2023","2","77","108","67","203"
"2023_q3",,"Back Surgery  (Adult)",,"Total","Provincial","2023","3","98","320","97","273"
"12month_rolling","Ophthalmology","Cataract Surgery","Murphy, Jeremy",,,,,"90","140","86","144"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Cohen, Elissa",,,,,"59","148","30","66"
"2023_q2",,"Bariatric Surgery (for Weight Loss)",,"Zone 4","QE2","2023","2","54","97","314","385"
"2023_q2",,"Shoulder Surgery",,"Total","Provincial","2023","2","86","386","286","592"
"3month_rolling",,"Dental Extractions and Restorations  (Pediatric)",,"Zone 1","Yarmouth Regional","2025","2",,,"105","137"
"2023_q3",,"Male Circumcision  (Adult)",,"Zone 4","Hants Community Hospital","2023","3",,,"165","287"
"2024_q1",,"Shoulder Arthroplasty",,"Zone 4","QE2","2024","1","71","321","152","515"
"12month_rolling","Orthopaedic","All","McPherson, John",,,,,"97","421","55","210"
"2024_q1",,"Male Circumcision  (Adult)",,"Zone 2","Colchester East Hants Health Centre","2024","1","125","737",,
"2023_q4",,"Hysteroscopy",,"Zone 4","Dartmouth General","2023","4","34","273","60","125"
"2025_q2",,"Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected)",,"Zone 1","Valley Regional","2025","2","301","1136","67","423"
"12month_rolling","Urology","Kidney Stone Surgery","Lantz, Andrea",,,,,"40","69","38","118"
"2025_q2",,"Hernia Repair  (Adult)",,"Zone 1","Valley Regional","2025","2","84","854","75","170"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Suspected or Proven)","Saciragic, Lana",,,,,"17","36","32","51"
"2024_q2",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 3","St. Martha's Regional","2024","2","31","74",,
"2023_q2",,"Cystoscopy",,"Zone 3","Northside General","2023","2",,,"19","141"
"2024_q4",,"Breast Reduction Surgery",,"Zone 3","St. Martha's Regional","2024","4","117","386",,
"12month_rolling","Otolaryngology (ENT)","Ear Tubes  (Pediatric)","Fowler, James",,,,,"17","48","28","47"
"2023_q2",,"Bariatric Surgery (for Weight Loss)",,"Total","Provincial","2023","2","56","147","310","413"
"2025_q1",,"Bowel Resection",,"Zone 3","Cape Breton Regional","2025","1","18","164","24","181"
"2024_q1",,"Temperomandibular Joint Surgery (TMJ)",,"Zone 4","QE2","2024","1","154","547","143","587"
"2025_q1",,"Hernia Repair - Umbilical",,"Total","Provincial","2025","1","100","484","105","289"
"2024_q3",,"Brain Surgery  (Adult)",,"Zone 4","QE2","2024","3","28","155","49","108"
"2024_q3",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 1","Valley Regional","2024","3","15","270","40","82"
"2024_q1",,"Hip Replacement Revision",,"Zone 4","QE2","2024","1",,,"37","148"
"2023_q2",,"Dental Extractions and Restorations  (Adult)",,"Zone 1","South Shore Regional","2023","2","171","282","69","364"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery","MacDonald, Blair",,,,,"85","175","40","112"
"2023_q2",,"Male Circumcision  (Adult)",,"Total","Provincial","2023","2","81","293","112","319"
"2024_q4",,"Female Incontinence Surgery",,"Total","Provincial","2024","4","84","212","146","461"
"12month_rolling","General Surgery","Breast Cancer Surgery","Lapierre, Stephanie",,,,,"8","21","17","39"
"2024_q3",,"Craniotomy or Craniectomy",,"Zone 4","QE2","2024","3",,,"99","339"
"2024_q4",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 2","Cumberland Regional","2024","4",,,"29","41"
"2023_q3",,"Gastric Surgery",,"Zone 4","QE2","2023","3","19","39","28","157"
"2025_q2",,"Esophagoscopy",,"Total","Provincial","2025","2",,,"19","66"
"2024_q3",,"Aesthetic Surgery",,"Total","Provincial","2024","3","98","449","82","159"
"12month_rolling","Orthopaedic","Foot - Reconstruction","Gauthier, Luke Edward",,,,,,,"168","225"
"2025_q1",,"Hernia Repair - Incisional",,"Zone 1","Valley Regional","2025","1","100","542","102","373"
"2023_q2",,"Knee Scope",,"Zone 4","QE2","2023","2","96","125","128","347"
"2024_q2",,"Colorectal Cancer Surgery",,"Zone 1","South Shore Regional","2024","2",,,"18","39"
"12month_rolling","Otolaryngology (ENT)","Tonsillectomy and/or Adenoidectomy  (Adult)","Scott, John",,,,,"52","196","109","128"
"2025_q1",,"Hysteroscopy",,"IWK","IWK","2025","1","50","388","69","187"
"2023_q3",,"Vascular Bypass Surgery",,"Total","Provincial","2023","3",,,"20","36"
"12month_rolling","Urology","All","McCarthy, John Paul",,,,,"483","483","35","175"
"2024_q1",,"Gallbladder Surgery",,"Zone 4","Hants Community Hospital","2024","1","60","132","40","111"
"2024_q4",,"Esophagoscopy",,"Total","Provincial","2024","4",,,"30","153"
"2024_q4",,"Hernia Repair  (Adult)",,"Zone 3","St. Martha's Regional","2024","4","42","91","214","405"
"2023_q2",,"Knee Replacement Revision",,"Zone 4","QE2","2023","2",,,"66","127"
"2025_q2",,"Shoulder Arthroscopy",,"Zone 4","QE2","2025","2","47","125","143","356"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Not Suspected)","Coolen, Anna",,,,,"109","156","155","272"
"12month_rolling","Neurosurgery","Brain Surgery  (Adult)","Clarke, David B",,,,,"21","65","18","67"
"2025_q2",,"Cystoscopy",,"Zone 4","Dartmouth General","2025","2","40","120","46","190"
"2025_q1",,"Cystoscopy",,"Zone 2","Colchester East Hants Health Centre","2025","1","26","91","44","205"
"12month_rolling","General Surgery","Hernia Repair - Inguinal/Femoral","Faryniuk, Andrea Marie",,,,,"62","185","41","55"
"2024_q1",,"Bowel Resection",,"Zone 2","Aberdeen Hospital","2024","1",,,"32","43"
"3month_rolling",,"Cervical Spine (Neck) Surgery",,"Total","Provincial","2025","2","72","494","73","163"
"2023_q4",,"Knee Scope",,"Zone 1","Valley Regional","2023","4","52","75","23","35"
"2023_q3",,"Hernia Repair - Inguinal/Femoral",,"Total","Provincial","2023","3","76","304","59","256"
"2024_q1",,"Bladder Surgery",,"Total","Provincial","2024","1","21","34","57","153"
"2024_q1",,"Cystoscopy",,"Zone 3","Cape Breton Regional","2024","1","31","129","21","128"
"2024_q1",,"Carotid Endarterectomy",,"Total","Provincial","2024","1",,,"19","40"
"3month_rolling",,"Thyroid or Parathyroid Surgery",,"Total","Provincial","2025","2","41","208","54","168"
"2024_q4",,"Shoulder Arthroscopy",,"Zone 4","QE2","2024","4","61","342","174","579"
"2024_q4",,"Shoulder Arthroplasty",,"Zone 1","Valley Regional","2024","4",,,"144","229"
"12month_rolling",,"Hernia Repair - Laparoscopic Umbilical",,"Total","Provincial","2025","2","235","591","101","248"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","O'Sullivan, Colleen M",,,,,"358","500","99","150"
"2024_q4",,"Hip Replacement",,"Zone 1","Valley Regional","2024","4","117","455","161","520"
"2025_q1",,"Shoulder Surgery",,"Zone 1","Valley Regional","2025","1","143","476","156","221"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Southcott, Adam",,,,,"87","383","112","345"
"12month_rolling","Urology","Kidney Stone Surgery","McGregor, Thomas",,,,,"24","32","30","55"
"2023_q3",,"Bowel Resection",,"Zone 4","QE2","2023","3","23","103","29","169"
"2024_q1",,"Nose Surgery - Reconstructive or Aesthetic",,"Zone 4","QE2","2024","1",,,"34","51"
"2024_q4",,"Gallbladder Surgery",,"Zone 3","Glace Bay","2024","4","77","429",,
"12month_rolling","General Surgery","Bowel Resection - Laparoscopic","Clark, F Donald",,,,,"31","59","56","72"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Amir, Baharak",,,,,,,"45","97"
"2024_q1",,"Ear Tubes  (Adult)",,"Zone 1","Yarmouth Regional","2024","1",,,"40","61"
"2023_q2",,"Hysteroscopy",,"Zone 2","Colchester East Hants Health Centre","2023","2","44","213","58","132"
"2025_q1",,"Cornea and External Disease",,"Total","Provincial","2025","1","91","281","111","302"
"2024_q2",,"Hernia Repair  (Pediatric)",,"IWK","IWK","2024","2","99","614","153","334"
"12month_rolling","General Surgery","Gastrointestinal Tract Surgery - Laparoscopic","Kavanagh, Rhys",,,,,"31","172","27","35"
"2025_q1",,"Head and Neck Surgery",,"Zone 4","Dartmouth General","2025","1","52","172","62","139"
"2024_q2",,"Gastrointestinal Tract Surgery",,"Zone 2","Aberdeen Hospital","2024","2",,,"56","75"
"2024_q2",,"Cataract Surgery",,"Zone 1","Yarmouth Regional","2024","2","258","451","33","58"
"12month_rolling","Obstetrics/Gynaecology","Hysterectomy  (Cancer Suspected or Proven)","Joice, Shannon",,,,,"64","352","99","175"
"12month_rolling","General Surgery","Hernia Repair - Laparoscopic Inguinal Femoral","Jad, Ahmed",,,,,"188","336","256","376"
"12month_rolling","Ophthalmology","Oculo Plastic Surgery","Hussain, Ahsen Ayyaz",,,,,"177","475","124","384"
"2024_q1",,"Bladder Cancer Surgery",,"Zone 1","South Shore Regional","2024","1",,,"23","43"
"12month_rolling","General Surgery","Hernia Repair - Incisional","Dzierzanowski, Martin",,,,,"38","78","90","164"
"3month_rolling",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","Glace Bay","2025","2",,,"180","217"
"2025_q1",,"Hysterectomy  (Cancer Suspected or Proven)",,"Zone 4","QE2","2025","1","11","24","27","39"
"12month_rolling",,"Aesthetic Surgery",,"Zone 3","St. Martha's Regional","2025","2","95","293","134","232"
"2023_q3",,"Foot - Bunionectomy",,"Total","Provincial","2023","3",,,"90","216"
"12month_rolling","Neurosurgery","All","Walling, Simon",,,,,"8","45","36","118"
"2023_q4",,"Septoplasty",,"Zone 4","Dartmouth General","2023","4","48","98","163","586"
"12month_rolling",,"Wound Management",,"Total","Provincial","2025","2","22","953","7","112"
"12month_rolling",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 3","Inverness Consolidated Memorial","2025","2","60","231","79","289"
"3month_rolling",,"Hysterectomy  (Cancer Suspected or Proven)",,"Zone 4","QE2","2025","2","21","37","21","36"
"12month_rolling","Vascular Surgery","Colorectal Cancer Surgery","Heisler, Benjamin",,,,,"20","91","35","40"
"3month_rolling",,"Pelvic Floor Repair",,"IWK","IWK","2025","2",,,"239","434"
"2024_q1",,"Dental Extractions and Restorations  (Adult)",,"Zone 4","QE2","2024","1","99","216","118","581"
"12month_rolling","Dental","Dental Extractions and Restorations  (Adult)","James, Lindsay",,,,,"36","70","313","372"
"2024_q2",,"Cystoscopy",,"Zone 4","QE2","2024","2","50","132","63","195"
"2025_q2",,"Hysteroscopy",,"Zone 3","Cape Breton Regional","2025","2",,,"41","456"
"12month_rolling",,"Thymectomy",,"Total","Provincial","2025","2","38","54","41","400"
"12month_rolling","Orthopaedic","Hand / Upper Extremity","Trenholm, J Andrew I",,,,,"51","78","257","298"
"2024_q3",,"Hernia Repair - Inguinal/Femoral",,"Zone 4","QE2","2024","3","32","42","85","265"
"2025_q1",,"Functional Endoscopic Sinus Surgery (FESS)",,"Zone 1","Valley Regional","2025","1",,,"311","323"
"2024_q3",,"Lung Cancer Surgery",,"Total","Provincial","2024","3","27","73","39","88"
"2023_q3",,"Hernia Repair - Umbilical",,"Zone 4","QE2","2023","3","84","405",,
"12month_rolling",,"Bowel Resection - Open",,"Zone 2","Cumberland Regional","2025","2","28","146","22","37"
"12month_rolling","Obstetrics/Gynaecology","All","Murray, Angus",,,,,"82","295","86","404"
"12month_rolling","Oral and Maxillofacial",,,,,"2025","2",,,"105","321"
"2024_q2",,"Hernia Repair - Inguinal/Femoral",,"Zone 2","Cumberland Regional","2024","2","55","97","52","140"
"12month_rolling","Urology","Cystoscopy","Lehmann, Kyle",,,,,"90","180","44","112"
"2024_q3",,"Hernia Repair - Inguinal/Femoral",,"Zone 2","Aberdeen Hospital","2024","3","186","366",,
"2024_q3",,"Hernia Repair  (Adult)",,"Zone 3","Cape Breton Regional","2024","3","283","526","292","685"
"2025_q1",,"Tonsillectomy and/or Adenoidectomy  (Pediatric)",,"Zone 3","St. Martha's Regional","2025","1",,,"56","98"
"2024_q2",,"Shoulder Surgery",,"Total","Provincial","2024","2","100","519","208","536"
"12month_rolling","Orthopaedic","Orthopaedic Trauma","Gauthier, Luke Edward",,,,,"1","1","3","136"
"2025_q1",,"Shoulder Arthroplasty",,"Zone 4","QE2","2025","1","74","315","192","417"
"2025_q1",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","South Shore Regional","2025","1",,,"48","77"
"3month_rolling",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 4","QE2","2025","2","15","20","28","98"
"2023_q2",,"Gallbladder Surgery",,"Total","Provincial","2023","2","33","202","56","200"
"12month_rolling","Orthopaedic","Hip Replacement","O'Neill, Brendan",,,,,"434","697","86","238"
"12month_rolling","General Surgery","Hernia Repair  (Adult)","Lapierre, Stephanie",,,,,"279","726","37","180"
"12month_rolling",,"Hernia Repair - Inguinal/Femoral",,"Zone 3","Cape Breton Regional","2025","2","251","644","115","437"
"2023_q2",,"Hysterectomy  (Cancer Not Suspected)",,"IWK","IWK","2023","2","239","691","151","248"
"2023_q3",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 1","South Shore Regional","2023","3","97","373","88","161"
"2024_q3",,"Vascular Bypass Surgery",,"Zone 4","QE2","2024","3",,,"47","80"
"2024_q4",,"Ear Tubes  (Pediatric)",,"Zone 3","St. Martha's Regional","2024","4","43","76","27","47"
"12month_rolling","General Surgery","Insertion Vascular Access Catheter","MacDonald, Blair",,,,,"443","443","13","66"
"12month_rolling","Neurosurgery","All","Barry, Sean",,,,,"54","165","101","241"
"3month_rolling",,"Shoulder Arthroscopy",,"Zone 4","QE2","2025","2","47","125","143","356"
"2023_q2",,"Laryngology and Vocal Cord Surgery",,"Total","Provincial","2023","2","20","57","57","240"
"2025_q2",,"Breast Cancer Surgery",,"Zone 3","St. Martha's Regional","2025","2","7","12","26","40"
"2023_q3",,"Cataract Surgery",,"Zone 4","QE2","2023","3","83","226","64","266"
"12month_rolling","Oral Maxillofacial","Maxillofacial Deformity Surgery","Doucet, Jean-Charles",,,,,"415","658","225","631"
"12month_rolling","General Surgery","Bowel Resection - Laparoscopic","MacDonald, Blair",,,,,"21","175","28","31"
"12month_rolling","Otolaryngology (ENT)","Septoplasty","Fung, Elaine",,,,,"504","909","368","609"
"2025_q1",,"Hernia Repair  (Adult)",,"Zone 4","Dartmouth General","2025","1","117","371","92","272"
"12month_rolling","Plastic Surgery","Melanoma Excision","Simpson, Andrew",,,,,"9","15","20","24"
"12month_rolling","Vascular Surgery","AV Fistula Creation/Closure","Lee, Min S",,,,,"26","43","91","141"
"12month_rolling","Obstetrics/Gynaecology","All","Marais, Colin",,,,,"75","628","66","179"
"12month_rolling","Thoracic Surgery","Lung Surgery","French, Daniel Gerard",,,,,"18","41","30","62"
"2025_q1",,"Cardiac Valve Replacement",,"Total","Provincial","2025","1",,,"62","123"
"2023_q3",,"Foot - Arthrodesis",,"Zone 4","QE2","2023","3",,,"121","192"
"12month_rolling","General Surgery","All","MacFarlane, David",,,,,"30","106","56","126"
"12month_rolling","General Surgery","Colorectal Cancer Surgery","Nocon, Brian",,,,,"26","70","29","60"
"2024_q4",,"Knee Scope",,"Zone 1","Valley Regional","2024","4","89","159","101","169"
"2025_q1",,"Bladder Surgery",,"Total","Provincial","2025","1","19","71","62","107"
"12month_rolling","Vascular Surgery","Aneurysm Repair","Casey, Patrick J",,,,,"37","113","62","138"
"2024_q3",,"Gastrointestinal Tract Surgery",,"Zone 4","QE2","2024","3","33","175","46","112"
"2024_q2",,"Hernia Repair - Inguinal/Femoral",,"IWK","IWK","2024","2",,,"133","194"
"2023_q2",,"Hernia Repair  (Adult)",,"Total","Provincial","2023","2","57","334","73","283"
"2023_q4",,"Knee Scope",,"Zone 3","Cape Breton Regional","2023","4","56","136","41","85"
"12month_rolling","Orthopaedic","Knee Replacement","Brien, Donald M",,,,,"188","371","134","258"
"2023_q3",,"Shoulder Arthroscopy",,"Zone 4","Hants Community Hospital","2023","3","74","111","50","225"
"2023_q2",,"Bowel Resection",,"Zone 3","Cape Breton Regional","2023","2","9","22","32","46"
"2023_q2",,"Hernia Repair - Umbilical",,"Total","Provincial","2023","2","68","302","94","363"
"12month_rolling","Vascular Surgery","Endarterectomy","Smith, Matthew",,,,,"15","16","18","38"
"12month_rolling","Neurosurgery","All","Clarke, David B",,,,,"21","65","18","67"
"12month_rolling",,"Head and Neck Surgery",,"Zone 4","Dartmouth General","2025","2","32","105","75","216"
"12month_rolling","Plastic Surgery","Hand / Upper Extremity","Wheelock, Margaret",,,,,,,"239","369"
"2024_q2",,"Colorectal Cancer Surgery",,"Zone 1","Valley Regional","2024","2","24","69","35","81"
"2023_q4",,"Pelvic Floor Repair",,"IWK","IWK","2023","4","106","686","134","246"
"12month_rolling","Dental","All","Brown, Charlotte",,,,,"44","91","111","261"
"12month_rolling","General Surgery","Bowel Resection - Open","Yaffe, Paul",,,,,"18","140","51","71"
"2024_q2",,"Prostate Surgery",,"Zone 1","Yarmouth Regional","2024","2",,,"97","317"
"3month_rolling",,"Knee Replacement",,"Zone 1","Valley Regional","2025","2","441","485","237","463"
"2023_q4",,"Septoplasty",,"Zone 2","Cumberland Regional","2023","4",,,"56","120"
"12month_rolling","Ophthalmology","Cataract Surgery","Bata, Bashar",,,,,"47","53","73","78"
"2023_q3",,"Hysteroscopy",,"Zone 4","Dartmouth General","2023","3","23","89","73","90"
"2023_q2",,"Cataract Surgery",,"Zone 3","St. Martha's Regional","2023","2","118","231","37","148"
"12month_rolling","General Surgery","Bowel Resection - Open","McWilliams, Colin",,,,,"22","40","20","28"
"12month_rolling","Otolaryngology (ENT)","Head and Neck Surgery","Wallace, Timothy D",,,,,"38","113","96","132"
"2024_q4",,"Male Reproductive System Surgery",,"Total","Provincial","2024","4","100","327","127","467"
"12month_rolling","Orthopaedic","Hip Replacement Revision","Richardson, Christopher Glen",,,,,"19","31","97","420"
"2024_q4",,"Lymph Node Biopsy",,"Zone 4","QE2","2024","4","15","48","30","64"
"2024_q3",,"Glaucoma (Eye Pressure Lowering Surgery)",,"Zone 4","QE2","2024","3","40","580","22","71"
