"period","specialty","procedure","provider","zone","facility","year","quarter","consult_median","consult_90th","surgery_median","surgery_90th"
"2025_q1",,"Pelvic Floor Repair",,"Zone 2","Colchester East Hants Health Centre","2025","1","72","353",,
"2024_q1",,"Cataract Surgery",,"Zone 2","Cumberland Regional","2024","1","212","255","63","126"
"12month_rolling",,"Hysteroscopy",,"Zone 3","Glace Bay","2025","2","81","122","18","81"
"2025_q1",,"Bowel Resection",,"Zone 4","QE2","2025","1","23","156","36","227"
"12month_rolling",,"Hernia Repair - Laparoscopic Inguinal Femoral",,"Zone 1","Valley Regional","2025","2","217","533","99","445"
"2024_q1",,"Hip Replacement",,"Total","Provincial","2024","1","154","399","118","571"
"2023_q3",,"Laryngology and Vocal Cord Surgery",,"Zone 4","QE2","2023","3","26","75","141","569"
"2024_q2",,"Cardioversion",,"Total","Provincial","2024","2",,,"12","15"
"2023_q3",,"Pilonidal Cyst Surgery",,"Total","Provincial","2023","3","105","382","50","218"
"2025_q2",,"Bowel Resection",,"Zone 1","Yarmouth Regional","2025","2",,,"25","49"
"2025_q1",,"Septoplasty",,"Zone 3","Cape Breton Regional","2025","1","49","211","307","427"
"2024_q1",,"Tubal Ligation",,"Total","Provincial","2024","1","78","333",,
"2024_q2",,"Knee Replacement",,"Total","Provincial","2024","2","223","507","168","542"
"2025_q1",,"Breast Cancer Surgery",,"Zone 1","South Shore Regional","2025","1","14","85","16","26"
"2024_q3",,"Pancreas Surgery",,"Total","Provincial","2024","3","14","27","30","79"
"2023_q4",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 4","Dartmouth General","2023","4","15","104","24","45"
"2023_q3",,"Cystoscopy",,"Zone 4","Dartmouth General","2023","3","43","153","130","589"
"12month_rolling","Urology","Male Reproductive System Surgery","Rent, Kenneth",,,,,"23","67","57","233"
"2023_q4",,"Cardioversion",,"Total","Provincial","2023","4",,,"17","34"
"2023_q4",,"Craniotomy or Craniectomy",,"Total","Provincial","2023","4",,,"90","225"
"2024_q4",,"Cornea and External Disease",,"Total","Provincial","2024","4","57","236","91","341"
"2023_q3",,"Tubal Ligation",,"Total","Provincial","2023","3","36","215",,
"2025_q1",,"Hysteroscopy",,"Zone 1","Valley Regional","2025","1","41","397","35","91"
"2024_q4",,"Knee Scope",,"Zone 3","Cape Breton Regional","2024","4","56","165",,
"2023_q3",,"Shoulder Arthroplasty",,"Total","Provincial","2023","3","88","498","275","537"
"2024_q4",,"Hysterectomy  (Cancer Not Suspected)",,"Zone 1","Yarmouth Regional","2024","4","51","290","30","97"
"2023_q3",,"Nose Surgery - Reconstructive or Aesthetic",,"Total","Provincial","2023","3","89","186","29","210"
"2025_q2",,"Brain Surgery  (Adult)",,"Total","Provincial","2025","2","21","182","30","86"
"2025_q2",,"Gastrointestinal Tract Surgery",,"Zone 1","Yarmouth Regional","2025","2",,,"31","43"
"12month_rolling",,"Gastrointestinal Tract Surgery",,"Zone 2","Cumberland Regional","2025","2","19","63","28","61"
"12month_rolling","Orthopaedic","Meniscectomy","Urquhart, Nathan Alexander",,,,,"80","193","78","146"
"2023_q4",,"Knee Scope with ACL Repair",,"Zone 4","QE2","2023","4","53","95","119","326"
"2024_q4",,"Palmar Fascia Excision for Dupuytren's Disease",,"Zone 4","QE2","2024","4","383","751","94","522"
"2024_q2",,"Wound Management",,"Total","Provincial","2024","2",,,"11","20"
"12month_rolling","General Surgery","Hernia Repair - Laparoscopic Inguinal Femoral","Enright, Jonathan Boyde",,,,,"370","585","80","332"
"2024_q2",,"Hip Replacement",,"Zone 4","Dartmouth General","2024","2","245","429","161","466"
"12month_rolling","Obstetrics/Gynaecology","Hysteroscopy","Parr, Grace",,,,,"112","520","59","137"
"2024_q2",,"Oculo Plastic Surgery",,"Zone 3","Cape Breton Regional","2024","2",,,"134","201"
"2023_q2",,"Back Surgery  (Pediatric)",,"Total","Provincial","2023","2",,,"482","715"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","Roach, Eileen",,,,,"145","423","233","348"
"2024_q3",,"Hysteroscopy",,"Zone 4","Dartmouth General","2024","3","38","169","61","108"
"12month_rolling","General Surgery","Bowel Resection - Laparoscopic","Nader, Nabil",,,,,"11","20","20","41"
"12month_rolling","Ophthalmology","Cataract Surgery","Dickinson, John D",,,,,"42","289","51","110"
"2023_q3",,"Hernia Repair  (Adult)",,"Zone 1","South Shore Regional","2023","3","39","154","40","93"
"2024_q3",,"Gastrointestinal Tract Surgery - Laparoscopic",,"Zone 2","Cumberland Regional","2024","3",,,"14","18"
"2023_q3",,"Lacrimal Duct Probing",,"Total","Provincial","2023","3","162","194","66","187"
"2023_q4",,"Hysteroscopy",,"Total","Provincial","2023","4","43","273","49","146"
"12month_rolling","General Surgery","Hernia Repair - Umbilical","Butler, Clay K",,,,,"589","776","77","671"
"2024_q2",,"Bowel Resection - Open",,"Zone 1","South Shore Regional","2024","2","24","71","29","43"
"2025_q1",,"Surgery for Hearing or Balance Problems of the Ear",,"Zone 1","Yarmouth Regional","2025","1","100","223","29","57"
"2023_q3",,"Kidney / Upper Urinary Tract",,"Zone 3","Cape Breton Regional","2023","3",,,"34","162"
"2023_q4",,"Maxillofacial Deformity Surgery",,"Total","Provincial","2023","4","307","541","225","336"
"2025_q2",,"Craniotomy or Craniectomy",,"Zone 4","QE2","2025","2",,,"38","75"
"12month_rolling","Neurosurgery","Brain Surgery  (Adult)","Weeks, Adrienne",,,,,"6","27","7","67"
"12month_rolling",,"Bone / Cartilage Graft",,"Zone 4","QE2","2025","2","77","373","137","321"
