busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS1580,6631,Ellenvale Ave Before Alberta St (6631),1,INS,0,44.676835,-63.522513
BS1583,6798,Greystone Dr After Cobalt Walk (6798),1,INS,1,44.599465,-63.614555
BS1584,6799,Greystone Dr At Cranberry Ct (6799),1,INS,0,44.599972,-63.612507
BS1586,6801,Hammonds Plains Rd Before 2nd Yankeetown Rd (6801),0,INS,0,44.733835,-63.805924
BS1587,6802,Hammonds Plains Rd Before Yankeetown Rd (6802),0,INS,0,44.727721,-63.816952
BS1588,6803,Hammonds Plains Rd After Brookshire Ct (6803),0,INS,0,44.720837,-63.687781
BS1589,6804,Hammonds Plains Rd After Basinview Dr (6804),1,INS,0,44.717289,-63.683324
BS159,8287,Somerset St Before Centre St (8287),0,INS,0,44.677053,-63.542705
BS1590,7156,Cherry Brook Rd After Riley Rd (7156),0,INS,0,44.708527,-63.485452
BS1591,7157,Cherry Brook Rd At Civic 292 (7157),0,INS,0,44.708918,-63.482704
BS1592,7158,Main Ave After Willett St (7158),0,INS,0,44.654472,-63.645706
BS1595,8770,Brooks Dr At Civic 253 (8770),0,INS,0,44.726739,-63.426755
BS1596,8534,Windmill Rd Before Nootka Ave (8534),1,INS,0,44.68299,-63.597396
BS1597,8535,Windmill Rd After Civic 520 (8535),1,INS,0,44.690689,-63.599941
BS1598,8536,Windmill Rd Before Wrights Cove Rd (8536),0,INS,0,44.693335,-63.600581
BS1599,7608,Bridge Terminal Bay 8 (7608),1,INS,1,44.670212,-63.573565
BS16,8914,Hwy 7 Before Narrows Ln (8914),0,INS,0,44.737812,-63.309318
BS160,8288,Somerset St Before Glenwood Ave (8288),0,INS,0,44.675272,-63.544607
BS1600,7609,Bridge Terminal Bay 9 (7609),1,INS,1,44.670072,-63.573849
BS1601,7610,Bridge Terminal Bay 10 (7610),1,INS,1,44.670175,-63.574029
BS1602,7611,Bridge Terminal Bay 11 (7611),1,INS,0,44.670292,-63.574278
BS1603,7612,Bridge Terminal Bay 12 (7612),1,INS,0,44.6704,-63.574511
BS1604,7613,Bridge Terminal Bay 13 (7613),1,INS,0,44.670569,-63.574794
BS1605,7614,Bridge Terminal Bay 14 (7614),1,INS,1,44.670692,-63.574981
BS1606,7615,Bridge Terminal Bay 15 (7615),1,INS,0,44.670779,-63.575158
BS1607,7616,Bridge Terminal Bay 16 (7616),1,INS,1,44.670882,-63.575319
BS161,8289,Somerset St Before Berkley Brae (8289),0,INS,0,44.675035,-63.544841
BS1610,8759,Cole Harbour Rd After Bisset Rd (8759),1,INS,0,44.672452,-63.476776
BS1611,8760,Cole Harbour Rd Before Ross Rd (8760),0,INS,0,44.682376,-63.454249
BS1612,8761,Ross Rd Before Greenvale Cr (8761),0,INS,0,44.684695,-63.453622
BS1613,8762,Ross Rd After Brookside Ave (8762),1,INS,0,44.68749,-63.453618
BS1614,8763,Ross Rd After Glendale Dr (8763),1,INS,0,44.691269,-63.455727
BS1615,8764,Ross Rd At Civic 156 (8764),0,INS,0,44.696101,-63.458867
BS1616,8765,Ross Rd Before Salmon River Dr (8765),0,INS,0,44.700682,-63.461317
BS1617,8766,Ross Rd Before Hwy 7 (8766),0,INS,0,44.703858,-63.465173
BS1619,8768,Hwy 7 Before Lower Governor St (8768),1,INS,0,44.715318,-63.434589
BS162,8290,Somerset St Before Penhorn Dr (8290),1,INS,1,44.676989,-63.542669
BS1620,8769,Brooks Dr Opposite East Preston Rec Centre (8769),1,INS,0,44.719185,-63.43349
BS1621,8561,Windsor St Before Cork St (8561),1,INS,0,44.656061,-63.606299
BS1622,8771,Brooks Dr At Civic 344 (8771),0,INS,0,44.728123,-63.420496
BS1623,8537,Windmill Rd Opposite Dawn Dr (8537),0,INS,1,44.702124,-63.608352
BS1624,8538,Windmill Rd Opposite Dawson St (8538),1,INS,0,44.668606,-63.582903
BS1625,8539,Windmill Rd Before Elmwood Ave (8539),1,INS,0,44.673206,-63.589236
BS1626,8540,Windmill Rd After Jamieson St (8540),1,INS,0,44.670799,-63.584456
BS1627,8541,Windmill Rd Before Parkstone Rd (8541),1,INS,0,44.68047,-63.595363
BS1628,8542,Windmill Rd Opposite Pelzant St (8542),1,INS,1,44.669868,-63.583494
BS1629,8543,Windmill Rd Before Seapoint Rd (8543),1,INS,0,44.700914,-63.607271
BS163,8291,South St Before Studley Ave (8291),1,INS,0,44.634792,-63.592457
BS1630,8544,Windmill Rd Before Yorkshire Ave Ext (8544),1,INS,0,44.68523,-63.598519
BS1631,8545,Windmill Rd Before Bethel Ave (8545),1,INS,1,44.678009,-63.592303
BS1632,8546,Windmill Rd Opposite Wallace St (8546),1,INS,1,44.674945,-63.590322
BS1635,8549,Windsor St After Maxwell St (8549),1,INS,1,44.660147,-63.61267
BS1636,8550,Windsor St Before Engineers Way (8550),1,INS,0,44.65829,-63.60939
BS1637,8551,Windsor St After Connaught Ave (8551),1,INS,0,44.660319,-63.619117
BS1638,8552,Windsor St After Connaught Ave (8552),1,INS,0,44.660614,-63.620161
BS1639,8553,Windsor St After Lady Hammond Rd (8553),1,INS,0,44.662409,-63.622342
BS164,8292,South St After Queen St (8292),1,INS,1,44.638971,-63.574624
BS1640,8554,Windsor St After North St (8554),1,INS,0,44.652518,-63.598947
BS1641,2016,Windsor St Before Bayers Rd (2016),1,INS,1,44.657202,-63.607941
BS1642,8556,Windsor St Before Almon St (8556),1,INS,0,44.654189,-63.602442
BS1643,8557,Windsor St Before Almon St (8557),1,INS,0,44.654453,-63.603365
BS1644,8558,Windsor St Before Charles St (8558),1,INS,0,44.651158,-63.596483
BS1645,8559,Windsor St Before Charles St (8559),1,INS,0,44.651494,-63.59712
BS1646,8560,Windsor St Before Connaught Ave (8560),1,INS,0,44.660479,-63.62016
BS1647,8772,Upper Partridge River Rd At Civic 52 (8772),0,INS,0,44.724914,-63.418679
BS1648,8773,Hwy 7 After Lower Partridge River Rd (8773),0,INS,0,44.722287,-63.416303
BS1649,8774,Hwy 7 Before 2nd Diggs Dr (8774),0,INS,0,44.720967,-63.407635
BS165,8293,South St Before Barrington St (8293),1,INS,0,44.639639,-63.57159
BS1650,8241,Ronald Smith Ave After Ilsley Ave (8241),1,INS,1,44.699065,-63.584811
BS1651,8242,Rosedale Ave At Civic 34 (8242),0,INS,0,44.654203,-63.635106
BS1652,8244,Rosedale Ave At Civic 23 (8244),1,INS,0,44.654631,-63.634341
BS1653,8245,Rosedale Ave After Dutch Village Rd (8245),1,INS,0,44.655298,-63.6329
BS1654,8246,Rosedale Ave After Hillcrest St (8246),1,INS,1,44.651665,-63.640818
BS1655,8247,Rosedale Ave Before Hillcrest St (8247),1,INS,0,44.652403,-63.63915
BS1656,8248,Rosedale Ave Before Alex St (8248),0,INS,0,44.653111,-63.637519
