facility_id,facility_name,town,postal_code,zone,facility_type,sea_participating,longitude,latitude,facility_total_beds,bed_type,is_core_bed,beds
GBHC,Glace Bay Health Care Facility,Glace Bay,B1A 1W5,Eastern,Nursing Home,Y,-59.938573,46.183212,18,nursing,1,18
GBHC,Glace Bay Health Care Facility,Glace Bay,B1A 1W5,Eastern,Nursing Home,Y,-59.938573,46.183212,18,nursing_respite,0,0
GBHC,Glace Bay Health Care Facility,Glace Bay,B1A 1W5,Eastern,Nursing Home,Y,-59.938573,46.183212,18,residential,1,0
GBHC,Glace Bay Health Care Facility,Glace Bay,B1A 1W5,Eastern,Nursing Home,Y,-59.938573,46.183212,18,residential_respite,0,0
GBLG,Gables Lodge,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189519,45.824933,96,nursing,1,96
GBLG,Gables Lodge,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189519,45.824933,96,nursing_respite,0,1
GBLG,Gables Lodge,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189519,45.824933,96,residential,1,0
GBLG,Gables Lodge,Amherst,B4H 3C9,Northern,Nursing Home,Y,-64.189519,45.824933,96,residential_respite,0,0
GHVM,Glen Haven Manor,New Glasgow,B2H 5E9,Northern,Nursing Home,Y,-62.643936,45.574935,199,nursing,1,199
GHVM,Glen Haven Manor,New Glasgow,B2H 5E9,Northern,Nursing Home,Y,-62.643936,45.574935,199,nursing_respite,0,1
GHVM,Glen Haven Manor,New Glasgow,B2H 5E9,Northern,Nursing Home,Y,-62.643936,45.574935,199,residential,1,0
GHVM,Glen Haven Manor,New Glasgow,B2H 5E9,Northern,Nursing Home,Y,-62.643936,45.574935,199,residential_respite,0,0
GRHV,Grace Haven,Paradise,B0S 1C0,Western,Residential Care Facility,Y,-65.24009,44.859623,20,nursing,1,0
GRHV,Grace Haven,Paradise,B0S 1C0,Western,Residential Care Facility,Y,-65.24009,44.859623,20,nursing_respite,0,0
GRHV,Grace Haven,Paradise,B0S 1C0,Western,Residential Care Facility,Y,-65.24009,44.859623,20,residential,1,20
GRHV,Grace Haven,Paradise,B0S 1C0,Western,Residential Care Facility,Y,-65.24009,44.859623,20,residential_respite,0,0
GVMC,Grand View Manor Continuing Care Community,Berwick,B0P 1E0,Western,Nursing Home,Y,-64.728171,45.036005,142,nursing,1,142
GVMC,Grand View Manor Continuing Care Community,Berwick,B0P 1E0,Western,Nursing Home,Y,-64.728171,45.036005,142,nursing_respite,0,0
GVMC,Grand View Manor Continuing Care Community,Berwick,B0P 1E0,Western,Nursing Home,Y,-64.728171,45.036005,142,residential,1,0
GVMC,Grand View Manor Continuing Care Community,Berwick,B0P 1E0,Western,Nursing Home,Y,-64.728171,45.036005,142,residential_respite,0,0
HBPL,Mayflower Meadows,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.120374,44.986384,31,nursing,1,31
HBPL,Mayflower Meadows,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.120374,44.986384,31,nursing_respite,0,1
HBPL,Mayflower Meadows,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.120374,44.986384,31,residential,1,0
HBPL,Mayflower Meadows,Windsor,B0N 2T0,Central,Nursing Home,Y,-64.120374,44.986384,31,residential_respite,0,0
HBVH,Harbour View Haven,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.302473,44.377074,143,nursing,1,143
HBVH,Harbour View Haven,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.302473,44.377074,143,nursing_respite,0,1
HBVH,Harbour View Haven,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.302473,44.377074,143,residential,1,0
HBVH,Harbour View Haven,Lunenburg,B0J 2C0,Western,Nursing Home,Y,-64.302473,44.377074,143,residential_respite,0,0
HCNG,High-Crest New Glasgow,New Glasgow,B2H 4P5,Northern,Residential Care Facility,Y,-62.641853,45.58563,29,nursing,1,0
HCNG,High-Crest New Glasgow,New Glasgow,B2H 4P5,Northern,Residential Care Facility,Y,-62.641853,45.58563,29,nursing_respite,0,0
HCNG,High-Crest New Glasgow,New Glasgow,B2H 4P5,Northern,Residential Care Facility,Y,-62.641853,45.58563,29,residential,1,29
HCNG,High-Crest New Glasgow,New Glasgow,B2H 4P5,Northern,Residential Care Facility,Y,-62.641853,45.58563,29,residential_respite,0,0
HCPL,High-Crest Place,New Glasgow,B2H 2R3,Northern,Residential Care Facility,Y,-62.645145,45.585717,27,nursing,1,0
HCPL,High-Crest Place,New Glasgow,B2H 2R3,Northern,Residential Care Facility,Y,-62.645145,45.585717,27,nursing_respite,0,0
HCPL,High-Crest Place,New Glasgow,B2H 2R3,Northern,Residential Care Facility,Y,-62.645145,45.585717,27,residential,1,27
HCPL,High-Crest Place,New Glasgow,B2H 2R3,Northern,Residential Care Facility,Y,-62.645145,45.585717,27,residential_respite,0,0
HCRC,Highland Crest Residential Care Facility,Antigonish,B2G 1Z3,Eastern,Residential Care Facility,Y,-61.990472,45.617684,35,nursing,1,0
HCRC,Highland Crest Residential Care Facility,Antigonish,B2G 1Z3,Eastern,Residential Care Facility,Y,-61.990472,45.617684,35,nursing_respite,0,0
HCRC,Highland Crest Residential Care Facility,Antigonish,B2G 1Z3,Eastern,Residential Care Facility,Y,-61.990472,45.617684,35,residential,1,35
HCRC,Highland Crest Residential Care Facility,Antigonish,B2G 1Z3,Eastern,Residential Care Facility,Y,-61.990472,45.617684,35,residential_respite,0,0
HCSB,High-Crest Sherbrooke,Sherbrooke,B0J 3C0,Eastern,Nursing Home,Y,-61.981123,45.140878,39,nursing,1,39
HCSB,High-Crest Sherbrooke,Sherbrooke,B0J 3C0,Eastern,Nursing Home,Y,-61.981123,45.140878,39,nursing_respite,0,0
HCSB,High-Crest Sherbrooke,Sherbrooke,B0J 3C0,Eastern,Nursing Home,Y,-61.981123,45.140878,39,residential,1,0
HCSB,High-Crest Sherbrooke,Sherbrooke,B0J 3C0,Eastern,Nursing Home,Y,-61.981123,45.140878,39,residential_respite,0,0
HCSH,High-Crest Springhill,Springhill,B0M 1X0,Northern,Nursing Home,Y,-64.049336,45.649513,75,nursing,1,75
HCSH,High-Crest Springhill,Springhill,B0M 1X0,Northern,Nursing Home,Y,-64.049336,45.649513,75,nursing_respite,0,1
HCSH,High-Crest Springhill,Springhill,B0M 1X0,Northern,Nursing Home,Y,-64.049336,45.649513,75,residential,1,0
HCSH,High-Crest Springhill,Springhill,B0M 1X0,Northern,Nursing Home,Y,-64.049336,45.649513,75,residential_respite,0,0
HLMN,Highland Manor,Neil's Harbour,B0C 1N0,Eastern,Nursing Home,Y,-60.322165,46.810967,19,nursing,1,19
HLMN,Highland Manor,Neil's Harbour,B0C 1N0,Eastern,Nursing Home,Y,-60.322165,46.810967,19,nursing_respite,0,0
HLMN,Highland Manor,Neil's Harbour,B0C 1N0,Eastern,Nursing Home,Y,-60.322165,46.810967,19,residential,1,0
HLMN,Highland Manor,Neil's Harbour,B0C 1N0,Eastern,Nursing Home,Y,-60.322165,46.810967,19,residential_respite,0,0
HLVA,Hillsview Acres,Middlefield,B0T 1E0,Western,Residential Care Facility,Y,-64.863724,44.209164,29,nursing,1,0
HLVA,Hillsview Acres,Middlefield,B0T 1E0,Western,Residential Care Facility,Y,-64.863724,44.209164,29,nursing_respite,0,0
HLVA,Hillsview Acres,Middlefield,B0T 1E0,Western,Residential Care Facility,Y,-64.863724,44.209164,29,residential,1,29
HLVA,Hillsview Acres,Middlefield,B0T 1E0,Western,Residential Care Facility,Y,-64.863724,44.209164,29,residential_respite,0,0
HOTV,Heart of the Valley Long Term Care Centre,Middleton,B0S 1P0,Western,Nursing Home,Y,-65.066728,44.950569,49,nursing,1,49
HOTV,Heart of the Valley Long Term Care Centre,Middleton,B0S 1P0,Western,Nursing Home,Y,-65.066728,44.950569,49,nursing_respite,0,1
HOTV,Heart of the Valley Long Term Care Centre,Middleton,B0S 1P0,Western,Nursing Home,Y,-65.066728,44.950569,49,residential,1,0
HOTV,Heart of the Valley Long Term Care Centre,Middleton,B0S 1P0,Western,Nursing Home,Y,-65.066728,44.950569,49,residential_respite,0,0
HPSC,Hillside Pines Home For Special Care,Bridgewater,B4V 3K6,Western,Nursing Home,Y,-64.520648,44.368871,50,nursing,1,50
HPSC,Hillside Pines Home For Special Care,Bridgewater,B4V 3K6,Western,Nursing Home,Y,-64.520648,44.368871,50,nursing_respite,0,0
HPSC,Hillside Pines Home For Special Care,Bridgewater,B4V 3K6,Western,Nursing Home,Y,-64.520648,44.368871,50,residential,1,0
HPSC,Hillside Pines Home For Special Care,Bridgewater,B4V 3K6,Western,Nursing Home,Y,-64.520648,44.368871,50,residential_respite,0,0
HSEC,Harbourstone Enhanced Care,Sydney River,B1S 3V7,Eastern,Nursing Home,Y,-60.213818,46.10704,270,nursing,1,270
HSEC,Harbourstone Enhanced Care,Sydney River,B1S 3V7,Eastern,Nursing Home,Y,-60.213818,46.10704,270,nursing_respite,0,2
HSEC,Harbourstone Enhanced Care,Sydney River,B1S 3V7,Eastern,Nursing Home,Y,-60.213818,46.10704,270,residential,1,0
HSEC,Harbourstone Enhanced Care,Sydney River,B1S 3V7,Eastern,Nursing Home,Y,-60.213818,46.10704,270,residential_respite,0,0
HVHP,Harbour View Facility,Sydney Mines,B1V 2H7,Eastern,Nursing Home,Y,-60.222207,46.234744,28,nursing,1,28
HVHP,Harbour View Facility,Sydney Mines,B1V 2H7,Eastern,Nursing Home,Y,-60.222207,46.234744,28,nursing_respite,0,0
HVHP,Harbour View Facility,Sydney Mines,B1V 2H7,Eastern,Nursing Home,Y,-60.222207,46.234744,28,residential,1,0
HVHP,Harbour View Facility,Sydney Mines,B1V 2H7,Eastern,Nursing Home,Y,-60.222207,46.234744,28,residential_respite,0,0
