permit_number,issue_year,issue_month,community,district,work_type,primary_work_scope,project_value,net_new_units,storeys,permit_status,lat,lon
BP-2021-04115,2021,5,DARTMOUTH,District 06,Renovation,Renovation,632000.0,0,1,Completed,44.70514154601996,-63.611284856838
BP-2021-04134,2021,12,HALIFAX,District 16,New Building,New Building,6000000.0,39,7,Completed,44.69676391778697,-63.661297226825404
BP-2021-04148,2021,5,HALIFAX,District 07,Renovation,Renovation,798000.0,0,3,Completed,44.64846610326862,-63.57593956290823
BP-2021-04217,2021,6,HALIFAX,District 07,Addition,Addition,530000.0,0,2,Expired (Closed),44.635277933167224,-63.58749038364162
BP-2021-04227,2021,5,HALIFAX,District 11,New Building,New Building,250000.0,2,3,Completed,44.601004119994016,-63.601113426841636
BP-2021-04244,2022,7,BEDFORD,District 16,Addition,Addition,1220985.0,0,1,Amendment Application Incomplete,44.72372569136318,-63.70626367059329
BP-2021-04255,2021,7,WINDSOR JUNCTION,District 01,Renovation,Renovation,55000.0,1,2,Completed,44.78648189102401,-63.63357063831859
BP-2021-04287,2021,6,DARTMOUTH,District 05,New Building,New Building,433000.0,1,2,Completed,44.66882278747289,-63.5690931699892
BP-2021-04312,2021,8,DARTMOUTH,District 06,New Building,New Building,4500000.0,0,1,Expired,44.71090639789018,-63.59026818126455
BP-2021-04318,2021,3,BEDFORD,District 16,New Building,New Building,695000.0,1,2,Completed,44.7028212515206,-63.71577199336802
BP-2021-04344,,,HAMMONDS PLAINS,District 14,Renovation,Renovation,40000.0,1,3,Withdrawn,44.72686695197085,-63.749016604869055
BP-2021-04353,2021,4,WINDSOR JUNCTION,District 01,New Building,New Building,6500.0,0,1,Completed,44.79343290801789,-63.65347042235866
BP-2021-04385,2021,5,HALIFAX,District 11,New Building,New Building,250000.0,2,3,Completed,44.60060904829511,-63.6015963993392
BP-2021-04387,2021,4,BAYSIDE,District 13,Renovation,Renovation,100000.0,0,2,Expired,44.536186688056,-63.792677148448405
BP-2021-04401,2021,4,HALIFAX,District 11,New Building,New Building,200000.0,2,2,Completed,44.59155876843974,-63.59966668535189
BP-2021-04413,2021,4,BEAVER BANK,District 15,New Building,New Building,350000.0,1,2,Completed,44.8359821339075,-63.662517690216724
BP-2021-04430,2021,4,GAETZ BROOK,District 02,New Building,New Building,130000.0,2,1,Completed,44.764233119089184,-63.214475791300615
BP-2021-04437,2021,4,MINEVILLE,District 02,New Building,New Building,151000.0,1,2,Completed,44.70886478223538,-63.390250029495796
BP-2021-04470,2021,4,HARRIETSFIELD,District 11,New Building,New Building,20000.0,0,1,Completed,44.56729129893345,-63.636328227600956
BP-2021-04476,2021,4,MURPHY COVE,District 02,New Building,New Building,7500.0,0,1,Completed,44.782267515141484,-62.763705829276866
BP-2021-04483,2021,4,DARTMOUTH,District 06,Renovation,Renovation,70000.0,0,1,Completed,44.712444233864325,-63.59957159698863
BP-2021-04496,2021,6,HALIFAX,District 07,Renovation,Renovation,255000.0,0,3,Expired,44.64338577934373,-63.56896577062749
BP-2021-04552,2021,4,BEDFORD,District 16,Renovation,Renovation,500.0,0,2,Completed,44.728073401345334,-63.66027340356554
BP-2021-04593,2021,4,MIDDLE SACKVILLE,District 14,New Building,New Building,425000.0,1,2,Completed,44.78024401125007,-63.736988914334944
BP-2021-04601,2023,6,HALIFAX,District 11,New Building,New Building,400000.0,3,2,Completed,44.58576398802583,-63.58829460601419
BP-2021-04642,2021,5,,District 14,New Building,New Building,17000.0,0,1,Expired,,
BP-2021-04656,,,HALIFAX,District 09,Renovation,Renovation,,1,2,Applicant Revisions,44.6519755419694,-63.61185433173488
BP-2021-04672,2021,4,WELLINGTON,District 01,New Building,New Building,470000.0,1,2,Completed,44.86288646104221,-63.596076112438794
BP-2021-04676,2021,5,HALIFAX,District 08,Renovation,Renovation,40000.0,0,3,Expired,44.665161662511345,-63.604200148663544
BP-2021-04685,2021,8,ENFIELD,District 01,New Building,New Building,335000.0,1,1,Completed,44.912374114759196,-63.554803625387216
BP-2021-04692,2021,4,TIMBERLEA,District 12,New Building,New Building,160000.0,1,3,Completed,44.63969095296316,-63.72322444859055
BP-2021-04704,2021,3,PORTERS LAKE,District 02,New Building,New Building,200000.0,1,2,Completed,44.754680974047645,-63.29132114778402
BP-2021-04708,2021,6,HALIFAX,District 07,Renovation,Renovation,17115.0,0,2,Completed,44.636108976820694,-63.58584759079162
BP-2021-04721,2021,5,MIDDLE SACKVILLE,District 14,New Building,New Building,287000.0,1,2,Completed,44.82281104379796,-63.710796572429395
BP-2021-04757,2021,4,DARTMOUTH,District 05,Renovation,Renovation,79900.0,0,1,Expired,44.66560820538319,-63.55626013781678
BP-2021-04788,2021,6,EAST SHIP HARBOUR,District 02,New Building,New Building,120000.0,1,2,Expired (Closed),44.776761239290835,-62.78919530949608
BP-2021-04810,2021,4,DARTMOUTH,District 06,Renovation,Renovation,77452.0,0,2,Completed,44.6802185722674,-63.54146033834093
BP-2021-04845,2021,5,HALIFAX,District 07,Renovation,Renovation,150000.0,0,22,Completed,44.652649421307245,-63.57452150316824
BP-2021-04850,2021,4,TIMBERLEA,District 12,New Building,New Building,500000.0,1,2,Completed,44.64129169867872,-63.72082285924184
BP-2021-04859,2021,7,HALIFAX,District 11,New Building,New Building,900000.0,3,2,Completed,44.6246248055933,-63.62312280960816
BP-2021-04870,2021,6,HALIFAX,District 07,Renovation,Renovation,68000.0,0,3,Completed,44.632646614211225,-63.584144230180534
BP-2021-04895,2021,11,HERRING COVE,District 11,New Building,New Building,530000.0,1,3,Completed,44.56737454337135,-63.56157950864275
BP-2021-04946,,,TIMBERLEA,District 12,New Building,New Building,20000.0,0,1,Cancelled,44.67024074526856,-63.77658151097558
BP-2021-04953,2021,4,TIMBERLEA,District 12,New Building,New Building,160000.0,1,3,Completed,44.63991910018579,-63.72345351712993
BP-2021-04971,2021,4,TIMBERLEA,District 12,New Building,New Building,180000.0,1,3,Completed,44.64066127459972,-63.72355979449979
BP-2021-04990,2021,5,PORTUGUESE COVE,District 11,Addition,Addition,8000.0,0,1,Completed,44.52063217841931,-63.53292485387835
BP-2021-05011,,,GRAND LAKE,District 01,Addition,Addition,82500.0,0,2,Applicant Revisions,44.895138174140726,-63.589815198806846
BP-2021-05034,2021,5,DARTMOUTH,District 05,Renovation,Renovation,59500.0,0,2,Completed,44.67838759599333,-63.58792278985867
BP-2021-05061,2021,11,LOWER EAST CHEZZETCOOK,District 02,New Building,New Building,51000.0,0,2,Issued,44.683867128559044,-63.206156065601014
BP-2021-05070,2021,4,BEAVER BANK,District 15,New Building,New Building,23000.0,0,1,Completed,44.829000356644784,-63.68201897510388
BP-2021-05103,2021,9,PORTERS LAKE,District 02,New Building,New Building,280000.0,1,2,Issued,44.70822545637335,-63.30352535004583
BP-2021-05158,2021,6,HALIFAX,District 09,Renovation,Renovation,125000.0,0,5,Expired,44.649368575944415,-63.61874247106554
BP-2021-05251,2021,4,DARTMOUTH,District 05,Renovation,Renovation,58500.0,0,2,Completed,44.67855897456257,-63.58763250533312
BP-2021-05272,,,SHIP HARBOUR,District 02,Renovation,Renovation,10000.0,0,1,Withdrawn,44.811990190056285,-62.88461257381244
BP-2021-05336,,,TANTALLON,District 13,New Building,New Building,300000.0,1,1,Withdrawn,44.66583313153123,-63.89191835001284
BP-2021-05357,2021,5,TIMBERLEA,District 12,New Building,New Building,400000.0,1,2,Completed,44.64106599710132,-63.72396727821811
BP-2021-05376,2021,4,HALIFAX,District 08,Renovation,Renovation,25000.0,0,2,Completed,44.66356680361113,-63.597901880593554
BP-2021-05410,2021,4,BEDFORD,District 16,New Building,New Building,400000.0,1,3,Completed,44.71419159924603,-63.70436525628462
BP-2021-05439,2021,4,HALIFAX,District 10,Renovation,Renovation,95000.0,0,2,Completed,44.66768330939534,-63.64412914412405
BP-2021-05459,2021,7,HALIFAX,District 09,Renovation,Renovation,490000.0,0,1,Completed,44.646189356815654,-63.6183254137935
BP-2021-05466,2021,10,HALIFAX,District 08,Renovation,Renovation,46000.0,0,1,Completed,44.66183435258721,-63.606377397274485
BP-2021-05488,,,LOWER SACKVILLE,District 15,New Building,New Building,10000000.0,83,6,Applicant Revisions,44.75626523949546,-63.66696091236095
BP-2021-05501,2021,5,LUCASVILLE,District 14,New Building,New Building,110000.0,0,1,Expired,44.76945555854573,-63.74153280505372
BP-2021-05546,2021,5,WHITES LAKE,District 13,New Building,New Building,400000.0,1,2,Completed,44.50949320796285,-63.77342321557739
BP-2021-05574,2021,4,DEVON,District 01,New Building,New Building,220000.0,1,1,Completed,44.904356443159884,-63.43370847848869
BP-2021-05582,2021,9,LOWER SACKVILLE,District 15,New Building,New Building,5800000.0,33,4,Completed,44.759781890546165,-63.66030240503815
BP-2021-05593,2021,4,UPPER TANTALLON,District 13,New Building,New Building,400000.0,1,3,Completed,44.704683643578214,-63.8904308456083
BP-2021-05611,2021,4,TANTALLON,District 13,New Building,New Building,400000.0,1,1,Completed,44.65233340429661,-63.90281595350201
BP-2021-05633,2021,4,MIDDLE SACKVILLE,District 14,New Building,New Building,250000.0,1,3,Completed,44.795064837138135,-63.74845476255829
BP-2021-05685,2021,5,TIMBERLEA,District 12,Addition,Addition,20000.0,0,1,Expired,44.64879380568681,-63.73872127591431
BP-2021-05705,2021,4,FLETCHERS LAKE,District 01,New Building,New Building,16000.0,0,1,Expired,44.83786387124044,-63.605360028787096
BP-2021-05717,2021,4,FALL RIVER,District 01,Addition,Addition,60000.0,0,2,Expired,44.806987779296485,-63.62471986789852
BP-2021-05736,,,HALIFAX,District 11,Addition,Addition,32000.0,0,1,Withdrawn,44.611538782460535,-63.6100778158177
BP-2021-05750,2021,5,HALIFAX,District 09,Renovation,Renovation,175000.0,0,2,Completed,44.6415153364901,-63.60415433913424
BP-2021-05771,2021,5,FALL RIVER,District 01,New Building,New Building,375000.0,1,1,Completed,44.82456900896427,-63.61581440215031
BP-2021-05800,2021,9,BEDFORD,District 16,New Building,New Building,467100.0,0,1,Completed,44.70858261542343,-63.70964576943253
BP-2021-05853,,,HALIFAX,District 11,New Building,New Building,35000.0,0,1,Withdrawn,44.62952207862933,-63.626608330173646
BP-2021-05871,2021,6,BEDFORD,District 16,Renovation,Renovation,18000.0,0,2,Completed,44.70706104901189,-63.70901383719901
BP-2021-05912,2021,6,HALIFAX,District 09,Renovation,Renovation,32000.0,0,3,Expired (Closed),44.649368575944415,-63.61874247106554
BP-2021-05930,,,NORTH PRESTON,District 04,Renovation,Renovation,4000.0,0,1,Application Incomplete,44.746059475596525,-63.468642975013296
BP-2021-05973,2021,6,LUCASVILLE,District 14,New Building,New Building,176500.0,1,2,Completed,44.74113877006348,-63.74880797098364
BP-2021-05987,2021,9,HALIFAX,District 08,New Building,New Building,1750000.0,0,2,Completed,44.66301472624699,-63.61623202053688
BP-2021-06005,2021,6,FALL RIVER,District 01,Renovation,Renovation,370000.0,0,2,Expired,44.80928431875872,-63.60647102529087
BP-2021-06013,2021,8,HALIFAX,District 09,Addition,Addition,96000.0,0,3,Expired,44.648449755653125,-63.61247042247399
BP-2021-06020,2021,8,HALIFAX,District 08,New Building,New Building,11630714.0,58,9,Completed,44.657346473829456,-63.6059633887643
BP-2021-06043,2021,5,HALIFAX,Unidentified,New Building,New Building,300000.0,2,3,Expired,44.59709423062361,-63.60220145356159
BP-2021-06053,2021,6,DARTMOUTH,District 05,Renovation,Renovation,110000.0,0,2,Expired,44.66972402974055,-63.556286764276
BP-2021-06066,2021,5,UPPER TANTALLON,District 13,New Building,New Building,35000.0,0,1,Completed,44.72745959577616,-63.87475428440248
BP-2021-06084,2021,5,HALIFAX,District 07,New Building,New Building,170000.0,0,1,Completed,44.63820494253234,-63.599318311405625
BP-2021-06110,2021,5,HALIFAX,Unidentified,New Building,New Building,300000.0,2,3,Expired,44.59688111834074,-63.601851502945834
BP-2021-06118,2021,5,HALIFAX,Unidentified,New Building,New Building,300000.0,2,3,Expired,44.59676754638335,-63.601678583409644
BP-2021-06147,2021,4,MIDDLE SACKVILLE,District 14,New Building,New Building,200000.0,1,2,Completed,44.79469335462684,-63.74705351075706
BP-2021-06151,2021,5,LUCASVILLE,District 14,New Building,New Building,325000.0,1,2,Expired,44.75548162889803,-63.73646466068289
BP-2021-06178,2021,5,HALIFAX,District 09,Renovation,Renovation,15000.0,0,1,Expired (Closed),44.653415839821385,-63.602266043938705
BP-2021-06183,2023,7,HALIFAX,District 11,New Building,New Building,120000.0,0,1,Issued,44.60885812553314,-63.564967016134126
BP-2021-06202,2021,6,LAKESIDE,District 12,New Building,New Building,800000.0,6,2,Completed,44.6334677171889,-63.70291884411579
BP-2021-06226,2021,9,MEAGHERS GRANT,District 01,Addition,Addition,40000.0,0,2,Expired,44.963189830168695,-63.219507788589915
BP-2021-06239,2021,5,TIMBERLEA,District 12,New Building,New Building,400000.0,1,2,Completed,44.641069848102866,-63.722299601934296
BP-2021-06260,2021,11,BEDFORD,District 16,New Building,New Building,14743928.0,72,6,Expired,44.7153011111168,-63.703030591207195
BP-2021-06268,2021,5,TANTALLON,District 13,New Building,New Building,380000.0,1,1,Completed,44.65070766384826,-63.897343032073245
BP-2021-06278,2021,5,TANTALLON,District 13,New Building,New Building,450000.0,1,2,Completed,44.65054980384206,-63.90001922185363
BP-2021-06309,2021,5,MIDDLE SACKVILLE,District 14,New Building,New Building,32000.0,0,1,Completed,44.82083401506092,-63.71323178268272
BP-2021-06334,2021,5,TIMBERLEA,District 12,New Building,New Building,400000.0,1,2,Completed,44.641034320364355,-63.72124472100854
BP-2021-06348,,,HALIFAX,District 10,Addition,Addition,9900.0,0,1,Application Incomplete,44.65910457224382,-63.64759178013589
BP-2021-06357,2021,5,TANTALLON,District 13,Addition,Addition,148250.36,0,1,Completed,44.65738407306028,-63.90301223644711
BP-2021-06386,2021,5,STILLWATER LAKE,District 13,New Building,New Building,44800.0,0,1,Expired,44.69218514991332,-63.82419961810517
BP-2021-06424,2021,5,PORTERS LAKE,District 02,New Building,New Building,200000.0,1,1,Completed,44.75445264125076,-63.28900004107989
BP-2021-06458,2021,5,UPPER TANTALLON,District 13,New Building,New Building,400000.0,1,2,Completed,44.7051765567405,-63.888099382144695
