object_id,fiscal_year,fiscal_year_start,nsbi_sector,nsbi_county,county_is_geographic,deal_type,account_name,place_name,postalcode,nsbi_financial_contribution,has_contribution,latitude,longitude,is_mappable,in_ns_bounds
942,2019-2020,2019,Film Production,Halifax,1,EGP,No Fear Films,Halifax,B3N 2H5,1370.00,1,44.6424447,-63.6384989,1,1
943,2019-2020,2019,Agri-food,Halifax,1,EGP,Giffin Technologies Inc.,Halifax,B3N 1X9,1155.00,1,44.6424447,-63.6384989,1,1
944,2019-2020,2019,Agri-food,Halifax,1,EGP,Giffin Technologies Inc.,Halifax,B3N 1X9,635.00,1,44.6424447,-63.6384989,1,1
945,2019-2020,2019,Film Production,Halifax,1,EGP,Matriarch Productions Inc.,Halifax,B3N 1B7,1820.00,1,44.6424447,-63.6384989,1,1
946,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Global Precision Signage Inc.,Halifax,B3M2Y9,5025.00,1,44.7260551,-63.7090338,1,1
947,2019-2020,2019,Agri-food,Halifax,1,PIVP,SeaChange Biochemistry Inc.,Halifax,B3M 4R2,15000.00,1,44.6795222,-63.7062955,1,1
948,2019-2020,2019,Film Production,Halifax,1,EGP,Ubuntu Media,Halifax,B3M 4K2,7914.00,1,44.6795222,-63.7062955,1,1
949,2019-2020,2019,Business Services,Halifax,1,EGP,SHUMBA CONSULTING,Halifax,B3M 4H4,696.00,1,44.6795222,-63.7062955,1,1
950,2019-2020,2019,Business Services,Halifax,1,EGP,Dart Frog Events Inc.,Halifax,B3M 4C5,11524.00,1,44.6795222,-63.7062955,1,1
951,2019-2020,2019,Business Services,Halifax,1,EGP,Foundation Marketing Services Inc.,Halifax,B3M 4C5,4418.00,1,44.6795222,-63.7062955,1,1
952,2019-2020,2019,Fish & Seafood Processing,Halifax,1,EGP,Fathom Fish & Seafood Inc.,Halifax,B3M 3M6,3642.00,1,44.6137541,-63.6192708,1,1
953,2019-2020,2019,Energy,Halifax,1,EGP,RDA Atlantic Inc.,Halifax,B3M 2L9,14422.00,1,44.6936747,-63.7042465,1,1
954,2019-2020,2019,Business Services,Halifax,1,EGP,Proven Marketing for Professionals Inc.,Halifax,B3M 2L4,5600.00,1,44.6842047,-63.6625599,1,1
955,2019-2020,2019,Energy,Halifax,1,EGP,Roswall Development Incorporated,Halifax,B3M 2L3,10125.00,1,44.6842047,-63.6625599,1,1
956,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Vesuvius Media Ltd.,Halifax,B3M 1W8,19712.00,1,44.6755102,-63.6534019,1,1
957,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Vesuvius Media Ltd.,Halifax,B3M 1W8,3735.00,1,44.6755102,-63.6534019,1,1
958,2019-2020,2019,Agri-food,Halifax,1,EGP,JusNova Agriculture Ltd.,Halifax,B3M 1N1,14275.00,1,44.6647911,-63.6429132,1,1
959,2019-2020,2019,Agri-food,Halifax,1,EGP,JusNova Agriculture Ltd.,Halifax,B3M 1N1,9850.00,1,44.6647911,-63.6429132,1,1
960,2019-2020,2019,ICT (includes Digital Media),Halifax,1,SBDP,Content Bloom Inc.,Halifax,B3M 0N6,15000.00,1,44.7246482,-63.6721859,1,1
961,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Duckish Natural Skin Care Limited,Halifax,B3L1K1,6945.00,1,44.6226545,-63.6179519,1,1
962,2019-2020,2019,Business Services,Halifax,1,EGP,Uprise Consulting,Halifax,B3L 4T7,3312.00,1,44.6535608,-63.6299775,1,1
963,2019-2020,2019,Life Sciences,Halifax,1,SBDP,BlueLight Analytics Inc.,Halifax,B3L 4G4,13000.00,1,44.6425184,-63.6230288,1,1
964,2019-2020,2019,Life Sciences,Halifax,1,SBDP,BlueLight Analytics Inc.,Halifax,B3L 4G4,12000.00,1,44.6425184,-63.6230288,1,1
965,2019-2020,2019,Life Sciences,Halifax,1,EGP,BlueLight Analytics Inc.,Halifax,B3L 4G4,25000.00,1,44.6425184,-63.6230288,1,1
966,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Trust Communications Inc.,Halifax,B3L 2Y8,4842.00,1,44.6457117,-63.6073849,1,1
967,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Curv Labs Inc.,Halifax,B3L 2W6,11950.00,1,44.6543585,-63.6118692,1,1
968,2019-2020,2019,Business Services,Halifax,1,EGP,Ambition Theory,Halifax,B3L 2S7,2212.00,1,44.6462829,-63.6023369,1,1
969,2019-2020,2019,Business Services,Halifax,1,EGP,Ambition Theory,Halifax,B3L 2S7,1996.00,1,44.6462829,-63.6023369,1,1
970,2019-2020,2019,Business Services,Halifax,1,EGP,Success Through Trust Inc.,Halifax,B3L 2H3,3080.00,1,44.6481991,-63.6282027,1,1
971,2019-2020,2019,Business Services,Halifax,1,EGP,Focal Research Consultants Limited,Halifax,B3L 2C2,2050.00,1,44.6554659,-63.6288596,1,1
972,2019-2020,2019,Business Services,Halifax,1,EGP,Focal Research Consultants Limited,Halifax,B3L 2C2,1948.00,1,44.6554659,-63.6288596,1,1
973,2019-2020,2019,Energy,Halifax,1,EGP,Jaza Energy Inc.,Halifax,B3L 1Y9,9220.00,1,44.6533398,-63.6118355,1,1
974,2019-2020,2019,Energy,Halifax,1,EGP,Jaza Energy Inc.,Halifax,B3L 1Y9,2547.00,1,44.6533398,-63.6118355,1,1
975,2019-2020,2019,Film Production,Halifax,1,EGP,Black Dog Films / The Monster Productions Inc.,Halifax,B3L 1P4,11797.00,1,44.6537151,-63.5983931,1,1
976,2019-2020,2019,Agri-food,Halifax,1,PIVP,Nexus Robotics Inc.,Halifax,B3L 1E3,15000.00,1,44.652153,-63.5765057,1,1
977,2019-2020,2019,Film Production,Halifax,1,EGP,Arcadia Entertainment Inc.,Halifax,B3L 1A9,1874.00,1,44.6439187,-63.6039208,1,1
978,2019-2020,2019,ICT (includes Digital Media),Halifax,1,SBDP,902HipHop Inc.,Halifax,B3K4N7,15000.00,1,44.651908,-63.5952397,1,1
979,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,902HipHop Inc.,Halifax,B3K4N7,13202.00,1,44.651908,-63.5952397,1,1
980,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,902HipHop Inc.,Halifax,B3K4N7,1798.00,1,44.651908,-63.5952397,1,1
981,2019-2020,2019,Advanced Manufacturing,Halifax,1,PIVP,Rayleigh Solar Tech Inc.,Halifax,B3K2P5,15000.00,1,44.6701852,-63.6082181,1,1
982,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Rayleigh Solar Tech Inc.,Halifax,B3K2P5,2697.00,1,44.6701852,-63.6082181,1,1
983,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Atlantic Blockchain Company Inc.,Halifax,B3K 6S2,994.00,1,44.6511052,-63.5943814,1,1
984,2019-2020,2019,Business Services,Halifax,1,EGP,Ryan Chute Group of Companies Inc.,Halifax,B3K 5V8,5401.00,1,44.6674771,-63.6084856,1,1
985,2019-2020,2019,Business Services,Halifax,1,EGP,Smarter Spaces Inc.,Halifax,B3K 5M4,6460.00,1,44.6445467,-63.5762701,1,1
986,2019-2020,2019,ICT (includes Digital Media),Halifax,1,SBDP,Liberated Networks Inc.,Halifax,B3K 5L9,25000.00,1,44.6554842,-63.6035092,1,1
987,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,QRA Corp,Halifax,B3K 5L2,11621.00,1,44.6583102,-63.6053356,1,1
988,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,QRA Corp,Halifax,B3K 5L2,3377.00,1,44.6583102,-63.6053356,1,1
989,2019-2020,2019,Business Services,Halifax,1,EGP,R&G Strategic Inc.,Halifax,B3K 5J7,7945.00,1,44.6474755,-63.5931818,1,1
990,2019-2020,2019,Business Services,Halifax,1,EGP,R&G Strategic Inc.,Halifax,B3K 5J7,4770.00,1,44.6474755,-63.5931818,1,1
991,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Boondoc Technologies Inc. (The Rounds),Halifax,B3K 4X5,17922.00,1,44.6621997,-63.6126882,1,1
992,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Boondoc Technologies Inc. (The Rounds),Halifax,B3K 4X5,6732.00,1,44.6621997,-63.6126882,1,1
993,2019-2020,2019,Film Production,Halifax,1,EGP,Ocean Entertainment Ltd.,Halifax,B3K 4T9,13875.00,1,44.6508892,-63.5955023,1,1
994,2019-2020,2019,Film Production,Halifax,1,EGP,Ocean Entertainment Ltd.,Halifax,B3K 4T9,13500.00,1,44.6508892,-63.5955023,1,1
995,2019-2020,2019,Agri-food,Halifax,1,SBDP,The Healthy Athlete,Halifax,B3K 4P6,8800.00,1,44.7263364,-63.7378569,1,1
996,2019-2020,2019,Agri-food,Halifax,1,EGP,The Healthy Athlete,Halifax,B3K 4P6,1630.00,1,44.7263364,-63.7378569,1,1
997,2019-2020,2019,Agri-food,Halifax,1,EGP,Wrought Iron Brewing Co. Ltd.,Halifax,B3K 4P2,1272.00,1,44.6565224,-63.6000243,1,1
998,2019-2020,2019,Agri-food,Halifax,1,EGP,Chain-Yard Cider Inc.,Halifax,B3K 4C8,1528.00,1,44.6555365,-63.5961796,1,1
999,2019-2020,2019,Film Production,Halifax,1,EGP,"Accomplice Content Supply Co., Inc.",Halifax,B3K 4C6,665.00,1,44.6551471,-63.5957575,1,1
1000,2019-2020,2019,Oceans Technology,Halifax,1,EGP,RBR Atlantic,Halifax,B3K 3W3,9765.00,1,44.661946,-63.5587822,1,1
1001,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Eye Catch Signs Limited,Halifax,B3K 3V4,9224.00,1,44.6546828,-63.5932681,1,1
1002,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Eye Catch Signs Limited,Halifax,B3K 3V4,4775.00,1,44.6546828,-63.5932681,1,1
1003,2019-2020,2019,Business Services,Halifax,1,EGP,Lightship Strategies Inc.,Halifax,B3K 3R4,925.00,1,44.6516565,-63.5868878,1,1
1004,2019-2020,2019,ICT (includes Digital Media),Halifax,1,PIVP,Efficiency Properties Inc.,Halifax,B3K 3P2,15000.00,1,44.6696518,-63.6086963,1,1
1005,2019-2020,2019,Business Services,Halifax,1,SBDP,Iris Booth Incorporated,Halifax,B3K 2Y4,10000.00,1,44.652261,-63.5828237,1,1
1006,2019-2020,2019,Business Services,Halifax,1,SBDP,Iris Booth Incorporated,Halifax,B3K 2Y4,10000.00,1,44.652261,-63.5828237,1,1
1007,2019-2020,2019,Business Services,Halifax,1,EGP,Iris Booth Incorporated,Halifax,B3K 2Y4,8045.00,1,44.652261,-63.5828237,1,1
1008,2019-2020,2019,Business Services,Halifax,1,EGP,Iris Booth Incorporated,Halifax,B3K 2Y4,7880.00,1,44.652261,-63.5828237,1,1
1009,2019-2020,2019,Business Services,Halifax,1,EGP,Iris Booth Incorporated,Halifax,B3K 2Y4,5302.00,1,44.652261,-63.5828237,1,1
1010,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Dormie Golf Workshop Inc.,Halifax,B3K 2Y3,15010.00,1,44.6728536,-63.6077762,1,1
1011,2019-2020,2019,Advanced Manufacturing,Halifax,1,EGP,Dormie Golf Workshop Inc.,Halifax,B3K 2Y3,4435.00,1,44.6728536,-63.6077762,1,1
1012,2019-2020,2019,Business Services,Halifax,1,EGP,Atlantic Ambassatours Ltd.,Halifax,B3K 2V6,2152.00,1,44.663951,-63.6258559,1,1
1013,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Modest Tree Media Inc.,Halifax,B3K 2R6,2567.00,1,44.664448,-63.6192654,1,1
1014,2019-2020,2019,ICT (includes Digital Media),Halifax,1,EGP,Modest Tree Media Inc.,Halifax,B3K 2R6,1750.00,1,44.664448,-63.6192654,1,1
1015,2019-2020,2019,Business Services,Halifax,1,SBDP,Pisces Research Project Management Inc,Halifax,B3K 2L9,3750.00,1,44.6679038,-63.6077782,1,1
