"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"573","1003","14 Glencoe St","Sydney","1","15159056","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.19080473","46.16761478","(46.16761478, -60.19080473)"
"574","1003","11 Glencoe St","Sydney","1","15159080","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.19136085","46.16737368","(46.16737368, -60.19136085)"
"575","1003","15 Glencoe St","Sydney","1","15159072","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.19145347","46.16756373","(46.16756373, -60.19145347)"
"576","1003","18 Glencoe St","Sydney","1","15159064","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.19109286","46.16775303","(46.16775303, -60.19109286)"
"577","1003","26 Connaught St","Sydney","1","15158025","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.19188943","46.16583219","(46.16583219, -60.19188943)"
"578","1003","130 French St","Sydney","1","15145576","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17690965","46.16004087","(46.16004087, -60.17690965)"
"579","1003","101 Kitchener St","Sydney","1","15144322","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17820993","46.15900319","(46.15900319, -60.17820993)"
"580","1003","134 French St","Sydney","1","15145584","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17697687","46.16020804","(46.16020804, -60.17697687)"
"581","1003","138 French St","Sydney","1","15145592","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17700509","46.16038384","(46.16038384, -60.17700509)"
"582","1003","142 French St","Sydney","1","15145600","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17706557","46.16056002","(46.16056002, -60.17706557)"
"583","1004","110 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1615133","46.13978359","(46.13978359, -60.1615133)"
"584","1004","114 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16143632","46.1397557","(46.1397557, -60.16143632)"
"585","1004","120 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1612576","46.13965467","(46.13965467, -60.1612576)"
"586","1004","124 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16118678","46.1396403","(46.1396403, -60.16118678)"
"587","1004","130 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16098844","46.13954355","(46.13954355, -60.16098844)"
"588","1004","134 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16093736","46.13951596","(46.13951596, -60.16093736)"
"589","1004","144 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16063994","46.13939512","(46.13939512, -60.16063994)"
"590","1004","140 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16071278","46.1394368","(46.1394368, -60.16071278)"
"591","1004","150 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16046358","46.13930345","(46.13930345, -60.16046358)"
"592","1004","154 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16039297","46.13928014","(46.13928014, -60.16039297)"
"593","1004","164 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16013047","46.13916459","(46.13916459, -60.16013047)"
"594","1004","160 Rockcliff Cres","Sydney","1","15123813","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.16018177","46.13918318","(46.13918318, -60.16018177)"
"595","1006","259 Gatacre St","Sydney","1","15143654","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17586283","46.15996124","(46.15996124, -60.17586283)"
"596","1006","257 Gatacre St","Sydney","1","15143654","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17584497","46.15989356","(46.15989356, -60.17584497)"
"597","1006","273 Gatacre St","Sydney","1","15143985","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17602501","46.16050309","(46.16050309, -60.17602501)"
"598","1006","279 Gatacre St","Sydney","1","15143993","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17610261","46.16071556","(46.16071556, -60.17610261)"
"599","1006","281 Gatacre St","Sydney","1","15143993","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17612027","46.16076278","(46.16076278, -60.17612027)"
"600","1006","6 MacDonald Cres","Sydney","1","15143910","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17622","46.1609956","(46.1609956, -60.17622)"
"601","1006","275 Gatacre St","Sydney","1","15143985","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1760649","46.16056365","(46.16056365, -60.1760649)"
"602","1006","7 MacDonald Cres","Sydney","1","15143902","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17629622","46.1613249","(46.1613249, -60.17629622)"
"603","1006","9 MacDonald Cres","Sydney","1","15143902","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17622318","46.16135326","(46.16135326, -60.17622318)"
"604","1006","8 MacDonald Cres","Sydney","1","15143910","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17611593","46.16101238","(46.16101238, -60.17611593)"
"605","1006","13 MacDonald Cres","Sydney","1","15143894","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17600445","46.16134401","(46.16134401, -60.17600445)"
"606","1006","12 MacDonald Cres","Sydney","1","15143928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17596602","46.16105563","(46.16105563, -60.17596602)"
"607","1006","14 MacDonald Cres","Sydney","1","15143928","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1758493","46.16106327","(46.16106327, -60.1758493)"
"608","1003","28 Dalton Lane","Sydney","1","15154693","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18674808","46.17072188","(46.17072188, -60.18674808)"
"609","1003","27 Dalton Lane","Sydney","1","15154743","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18689495","46.17068169","(46.17068169, -60.18689495)"
"610","1003","32 Dalton Lane","Sydney","1","15154701","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18680533","46.17082283","(46.17082283, -60.18680533)"
"611","1006","15 MacDonald Cres","Sydney","1","15143894","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17590012","46.16137427","(46.16137427, -60.17590012)"
"612","1003","31 Dalton Lane","Sydney","1","15154735","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18695219","46.17078263","(46.17078263, -60.18695219)"
"613","1006","21 MacDonald Cres","Sydney","1","15143886","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17562073","46.16141606","(46.16141606, -60.17562073)"
"614","1006","25 MacDonald Cres","Sydney","1","15143878","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1753153","46.16146197","(46.16146197, -60.1753153)"
"615","1006","27 MacDonald Cres","Sydney","1","15143878","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17521308","46.16140679","(46.16140679, -60.17521308)"
"616","1006","37 MacDonald Cres","Sydney","1","15143860","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17516589","46.1612128","(46.1612128, -60.17516589)"
"617","1006","19 MacDonald Cres","Sydney","1","15143886","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17573094","46.16140833","(46.16140833, -60.17573094)"
"618","1006","38 MacDonald Cres","Sydney","1","15143936","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17558988","46.16108277","(46.16108277, -60.17558988)"
"619","1006","39 MacDonald Cres","Sydney","1","15143860","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17513516","46.16114498","(46.16114498, -60.17513516)"
"620","1006","44 MacDonald Cres","Sydney","1","15143944","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17550412","46.16087934","(46.16087934, -60.17550412)"
"621","1006","46 MacDonald Cres","Sydney","1","15143944","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17546708","46.16080241","(46.16080241, -60.17546708)"
"622","1006","62 MacDonald Cres","Sydney","1","15143951","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17522022","46.16057013","(46.16057013, -60.17522022)"
"623","1006","63 MacDonald Cres","Sydney","1","15143688","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17496768","46.16030179","(46.16030179, -60.17496768)"
"624","1006","64 MacDonald Cres","Sydney","1","15143951","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17531152","46.16053967","(46.16053967, -60.17531152)"
"625","1006","65 MacDonald Cres","Sydney","1","15143688","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17506627","46.16023996","(46.16023996, -60.17506627)"
"626","1006","70 MacDonald Cres","Sydney","1","15143969","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17544933","46.1604648","(46.1604648, -60.17544933)"
"627","1006","71 MacDonald Cres","Sydney","1","15143670","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17520981","46.16019213","(46.16019213, -60.17520981)"
"628","1006","72 MacDonald Cres","Sydney","1","15143969","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17552144","46.16042515","(46.16042515, -60.17552144)"
"629","1006","73 MacDonald Cres","Sydney","1","15143670","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1753145","46.16014835","(46.16014835, -60.1753145)"
"630","1006","78 MacDonald Cres","Sydney","1","15143977","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17580832","46.16034298","(46.16034298, -60.17580832)"
"631","1006","40 MacDonald Cres","Sydney","1","15143936","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1755789","46.16100166","(46.16100166, -60.1755789)"
"632","1006","79 MacDonald Cres","Sydney","1","15143662","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17547162","46.16007366","(46.16007366, -60.17547162)"
"633","1006","80 MacDonald Cres","Sydney","1","15143977","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17591867","46.16033077","(46.16033077, -60.17591867)"
"634","1006","81 MacDonald Cres","Sydney","1","15143662","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17555004","46.16004312","(46.16004312, -60.17555004)"
"635","1007","135 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17291206","46.13161629","(46.13161629, -60.17291206)"
"636","1007","139 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17285249","46.13166955","(46.13166955, -60.17285249)"
"637","1007","143 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17268893","46.13174413","(46.13174413, -60.17268893)"
"638","1007","147 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17262266","46.13181084","(46.13181084, -60.17262266)"
"639","1007","151 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17252271","46.13193116","(46.13193116, -60.17252271)"
"640","1007","155 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17246293","46.13199343","(46.13199343, -60.17246293)"
"641","1007","163 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17226564","46.1321261","(46.1321261, -60.17226564)"
"642","1007","159 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17231233","46.13206815","(46.13206815, -60.17231233)"
"643","1007","167 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17214637","46.1322417","(46.1322417, -60.17214637)"
"644","1007","175 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17199373","46.13240186","(46.13240186, -60.17199373)"
"645","1007","171 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1720801","46.1323084","(46.1323084, -60.1720801)"
"646","1007","179 Juniper St","Sydney","1","15092646","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17192073","46.13247752","(46.13247752, -60.17192073)"
"647","1008","50 Hillside St","Sydney","1","15103484","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18171011","46.1241662","(46.1241662, -60.18171011)"
"648","1008","51 Hillside St","Sydney","1","15412083","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18122387","46.12401374","(46.12401374, -60.18122387)"
"649","1008","54 Hillside St","Sydney","1","15413149","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18176505","46.12410834","(46.12410834, -60.18176505)"
"650","1008","47 Hillside St","Sydney","1","15104334","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18118443","46.12405955","(46.12405955, -60.18118443)"
"651","1008","76 Hillside St","Sydney","1","15103534","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18236577","46.12347484","(46.12347484, -60.18236577)"
"652","1008","80 Hillside St","Sydney","1","15461502","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1824186","46.12343047","(46.12343047, -60.1824186)"
"653","1008","84 Hillside St","Sydney","1","15103542","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18251519","46.1233326","(46.1233326, -60.18251519)"
"654","1008","88 Hillside St","Sydney","1","15461452","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18257211","46.12328827","(46.12328827, -60.18257211)"
"655","1008","92 Hillside St","Sydney","1","15103559","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18269841","46.12316987","(46.12316987, -60.18269841)"
"656","1008","96 Hillside St","Sydney","1","15149297","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18273835","46.12309961","(46.12309961, -60.18273835)"
"657","1008","116 Hillside St","Sydney","1","15103567","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18202914","46.12240026","(46.12240026, -60.18202914)"
"658","1008","142 Hillside St","Sydney","1","15103724","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18091532","46.1219228","(46.1219228, -60.18091532)"
"659","1008","120 Hillside St","Sydney","1","15067929","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18193949","46.12235876","(46.12235876, -60.18193949)"
"660","1008","146 Hillside St","Sydney","1","15251549","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18081075","46.12188878","(46.12188878, -60.18081075)"
"661","1008","154 Hillside St","Sydney","1","15251887","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18051718","46.12177547","(46.12177547, -60.18051718)"
"662","1008","150 Hillside St","Sydney","1","15103732","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18062004","46.12180364","(46.12180364, -60.18062004)"
"663","1008","158 Hillside St","Sydney","1","15103740","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18040137","46.12169317","(46.12169317, -60.18040137)"
"664","1008","166 Hillside St","Sydney","1","15103757","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18008976","46.1216058","(46.1216058, -60.18008976)"
"665","1008","162 Hillside St","Sydney","1","15252331","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18029384","46.12166814","(46.12166814, -60.18029384)"
"666","1008","170 Hillside St","Sydney","1","15498454","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18000065","46.12157664","(46.12157664, -60.18000065)"
"667","1008","174 Hillside St","Sydney","1","15103765","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17988882","46.12148194","(46.12148194, -60.17988882)"
"668","1008","178 Hillside St","Sydney","1","15252968","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1798272","46.12145136","(46.12145136, -60.1798272)"
"669","1008","182 Hillside St","Sydney","1","15103773","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17958223","46.12137331","(46.12137331, -60.17958223)"
"670","1008","186 Hillside St","Sydney","1","15254832","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17951856","46.12133205","(46.12133205, -60.17951856)"
"671","1008","15 Brookview Dr","Sydney","1","15372238","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18028847","46.12382265","(46.12382265, -60.18028847)"
"672","1008","17 Brookview Dr","Sydney","1","15104292","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18018942","46.12380806","(46.12380806, -60.18018942)"
"673","1008","19 Brookview Dr","Sydney","1","15371271","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18002226","46.12376563","(46.12376563, -60.18002226)"
"674","1008","23 Brookview Dr","Sydney","1","15370893","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17980314","46.12366887","(46.12366887, -60.17980314)"
"675","1008","21 Brookview Dr","Sydney","1","15104284","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17994112","46.12373928","(46.12373928, -60.17994112)"
"676","1008","25 Brookview Dr","Sydney","1","15104276","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17968897","46.12363292","(46.12363292, -60.17968897)"
"677","1008","29 Brookview Dr","Sydney","1","15104268","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17946746","46.12350437","(46.12350437, -60.17946746)"
"678","1008","27 Brookview Dr","Sydney","1","15369655","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17955732","46.12355651","(46.12355651, -60.17955732)"
"679","1008","33 Brookview Dr","Sydney","1","15104250","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17929241","46.12336615","(46.12336615, -60.17929241)"
"680","1008","31 Brookview Dr","Sydney","1","15368483","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17933381","46.12341128","(46.12341128, -60.17933381)"
"681","1008","35 Brookview Dr","Sydney","1","15104243","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17914426","46.12324132","(46.12324132, -60.17914426)"
"682","1008","37 Brookview Dr","Sydney","1","15366537","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1790653","46.12319997","(46.12319997, -60.1790653)"
"683","1008","39 Brookview Dr","Sydney","1","15104235","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17894475","46.12310082","(46.12310082, -60.17894475)"
"684","1008","41 Brookview Dr","Sydney","1","15249923","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17888524","46.12305837","(46.12305837, -60.17888524)"
"685","1008","3 Millview Dr","Sydney","1","15039316","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18059746","46.12220831","(46.12220831, -60.18059746)"
"686","1008","11 Millview Dr","Sydney","1","15374143","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18038496","46.12239606","(46.12239606, -60.18038496)"
"687","1008","7 Millview Dr","Sydney","1","15104003","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18053112","46.12227502","(46.12227502, -60.18053112)"
"688","1008","12 Millview Dr","Sydney","1","15104029","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18007809","46.12220426","(46.12220426, -60.18007809)"
"689","1008","15 Millview Dr","Sydney","1","15103997","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18031457","46.12245854","(46.12245854, -60.18031457)"
"690","1008","16 Millview Dr","Sydney","1","15039464","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.1800238","46.12223477","(46.12223477, -60.1800238)"
"691","1008","19 Millview Dr","Sydney","1","15373731","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18023376","46.12253698","(46.12253698, -60.18023376)"
"692","1008","20 Millview Dr","Sydney","1","15104037","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17992672","46.12233553","(46.12233553, -60.17992672)"
"693","1008","23 Millview Dr","Sydney","1","15103989","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18018058","46.12259488","(46.12259488, -60.18018058)"
"694","1008","24 Millview Dr","Sydney","1","15038425","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17985671","46.12238256","(46.12238256, -60.17985671)"
"695","1008","27 Millview Dr","Sydney","1","15373491","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18006849","46.12268353","(46.12268353, -60.18006849)"
"696","1008","28 Millview Dr","Sydney","1","15104045","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17971758","46.12247704","(46.12247704, -60.17971758)"
"697","1008","31 Millview Dr","Sydney","1","15103971","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.18000209","46.12275476","(46.12275476, -60.18000209)"
"698","1008","32 Millview Dr","Sydney","1","15039274","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17967112","46.12254883","(46.12254883, -60.17967112)"
"699","1008","35 Millview Dr","Sydney","1","15373475","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17991006","46.12284344","(46.12284344, -60.17991006)"
"700","1008","36 Millview Dr","Sydney","1","15104052","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17957064","46.12263445","(46.12263445, -60.17957064)"
"701","1008","39 Millview Dr","Sydney","1","15103963","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17981022","46.12291321","(46.12291321, -60.17981022)"
"702","1008","40 Millview Dr","Sydney","1","15039043","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17947189","46.12267961","(46.12267961, -60.17947189)"
"703","1008","43 Millview Dr","Sydney","1","15373400","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17966933","46.1230241","(46.1230241, -60.17966933)"
"704","1008","44 Millview Dr","Sydney","1","15104060","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17938054","46.12277457","(46.12277457, -60.17938054)"
"705","1008","47 Millview Dr","Sydney","1","15103955","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17964416","46.123072","(46.123072, -60.17964416)"
"706","1008","48 Millview Dr","Sydney","1","15038599","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17932771","46.12281895","(46.12281895, -60.17932771)"
"707","1010","138 Gunn St","Sydney","1","15143076","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17316456","46.15855334","(46.15855334, -60.17316456)"
"708","1010","136 Gunn St","Sydney","1","15143076","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17325593","46.15852289","(46.15852289, -60.17325593)"
"709","1010","144 Gunn St","Sydney","1","15143084","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17297642","46.15856914","(46.15856914, -60.17297642)"
"710","1010","146 Gunn St","Sydney","1","15143084","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17287259","46.15858145","(46.15858145, -60.17287259)"
"711","1010","152 Gunn St","Sydney","1","15143092","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17270327","46.15861997","(46.15861997, -60.17270327)"
"712","1010","154 Gunn St","Sydney","1","15143092","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17258628","46.15864108","(46.15864108, -60.17258628)"
"713","1010","5 Shendale Dr","Sydney","1","15143068","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17348937","46.15850763","(46.15850763, -60.17348937)"
"714","1010","4 Shendale Dr","Sydney","1","15142896","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17402234","46.15841935","(46.15841935, -60.17402234)"
"715","1010","6 Shendale Dr","Sydney","1","15142896","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17397193","46.15836028","(46.15836028, -60.17397193)"
"716","1010","7 Shendale Dr","Sydney","1","15143068","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17345206","46.15844423","(46.15844423, -60.17345206)"
"717","1010","12 Shendale Dr","Sydney","1","15142904","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17390565","46.15815704","(46.15815704, -60.17390565)"
"718","1010","13 Shendale Dr","Sydney","1","15143050","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17338415","46.15822398","(46.15822398, -60.17338415)"
"719","1010","14 Shendale Dr","Sydney","1","15142904","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17386862","46.15808011","(46.15808011, -60.17386862)"
"720","1010","15 Shendale Dr","Sydney","1","15143050","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17336802","46.15814705","(46.15814705, -60.17336802)"
"721","1010","30 Shendale Dr","Sydney","1","15142979","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17374711","46.15775033","(46.15775033, -60.17374711)"
"722","1010","31 Shendale Dr","Sydney","1","15143001","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17322206","46.15777569","(46.15777569, -60.17322206)"
"723","1010","32 Shendale Dr","Sydney","1","15142979","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17372297","46.15767808","(46.15767808, -60.17372297)"
"724","1010","33 Shendale Dr","Sydney","1","15143001","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.17330636","46.1577722","(46.1577722, -60.17330636)"
