"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"2314","4303","3439 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62045179","44.65740128","(44.65740128, -63.62045179)"
"2315","4303","3441 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62057265","44.65749316","(44.65749316, -63.62057265)"
"2316","4303","3443 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62071611","44.65751314","(44.65751314, -63.62071611)"
"2317","4303","3445 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62084447","44.65752941","(44.65752941, -63.62084447)"
"2318","4303","3446 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62082992","44.65707395","(44.65707395, -63.62082992)"
"2319","4303","3448 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62093547","44.65709727","(44.65709727, -63.62093547)"
"2320","4303","3449 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62094775","44.65737092","(44.65737092, -63.62094775)"
"2321","4303","3450 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62102595","44.65712044","(44.65712044, -63.62102595)"
"2322","4303","3451 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62102166","44.65740568","(44.65740568, -63.62102166)"
"2323","4303","3452 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62110589","44.65708687","(44.65708687, -63.62110589)"
"2324","4303","3453 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62110792","44.6573686","(44.6573686, -63.62110792)"
"2325","4303","3454 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62117988","44.65711443","(44.65711443, -63.62117988)"
"2326","4303","3455 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.6211918","44.65740703","(44.65740703, -63.6211918)"
"2327","4303","3456 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62126527","44.65713401","(44.65713401, -63.62126527)"
"2328","4303","3458 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62152546","44.65685877","(44.65685877, -63.62152546)"
"2329","4303","3460 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62152472","44.65690382","(44.65690382, -63.62152472)"
"2330","4303","3462 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62151767","44.65695326","(44.65695326, -63.62151767)"
"2331","4303","3464 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62150631","44.65704046","(44.65704046, -63.62150631)"
"2332","4303","3466 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62150053","44.65708629","(44.65708629, -63.62150053)"
"2333","4303","3468 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62149992","44.65712861","(44.65712861, -63.62149992)"
"2334","4303","3470 Mcalpine Ave","Halifax","1","111021","Metropolitan Regional Housing Authority","Halifax","Halifax Regional Municipality","-63.62185587","44.65685325","(44.65685325, -63.62185587)"
