program_type,source_id,county,municipality,community,property_label,housing_authority,units,latitude,longitude
Families,2746,Halifax,Halifax Regional Municipality,Halifax,41 Indigo Walk,Metropolitan Regional Housing Authority,1,44.60031148,-63.61414961
Families,2747,Halifax,Halifax Regional Municipality,Halifax,45 Indigo Walk,Metropolitan Regional Housing Authority,1,44.60039264,-63.61417861
Families,2748,Halifax,Halifax Regional Municipality,Halifax,47 Indigo Walk,Metropolitan Regional Housing Authority,1,44.60043694,-63.61419934
Families,2749,Halifax,Halifax Regional Municipality,Halifax,49 Indigo Walk,Metropolitan Regional Housing Authority,1,44.60048927,-63.61421868
Families,2750,Halifax,Halifax Regional Municipality,Halifax,2 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60047595,-63.6115761
Families,2751,Halifax,Halifax Regional Municipality,Halifax,4 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60043868,-63.61152502
Families,2752,Halifax,Halifax Regional Municipality,Halifax,6 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60040861,-63.61148386
Families,2753,Halifax,Halifax Regional Municipality,Halifax,10 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60034866,-63.61141172
Families,2754,Halifax,Halifax Regional Municipality,Halifax,12 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60031139,-63.61136064
Families,2755,Halifax,Halifax Regional Municipality,Halifax,14 Lavender Walk,Metropolitan Regional Housing Authority,1,44.6002812,-63.61129939
Families,2756,Halifax,Halifax Regional Municipality,Halifax,20 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60004051,-63.61101455
Families,2757,Halifax,Halifax Regional Municipality,Halifax,22 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60000384,-63.61104541
Families,2758,Halifax,Halifax Regional Municipality,Halifax,23 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60008627,-63.61134892
Families,2759,Halifax,Halifax Regional Municipality,Halifax,24 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59996101,-63.61109768
Families,2760,Halifax,Halifax Regional Municipality,Halifax,25 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60004512,-63.61137982
Families,2761,Halifax,Halifax Regional Municipality,Halifax,27 Lavender Walk,Metropolitan Regional Housing Authority,1,44.60000133,-63.61141702
Families,2762,Halifax,Halifax Regional Municipality,Halifax,28 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59991035,-63.61117908
Families,2763,Halifax,Halifax Regional Municipality,Halifax,30 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59986056,-63.61125161
Families,2764,Halifax,Halifax Regional Municipality,Halifax,31 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59995007,-63.61153494
Families,2765,Halifax,Halifax Regional Municipality,Halifax,32 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59983116,-63.61129239
Families,2766,Halifax,Halifax Regional Municipality,Halifax,33 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59990793,-63.61155574
Families,2767,Halifax,Halifax Regional Municipality,Halifax,35 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59986225,-63.61158666
Families,2768,Halifax,Halifax Regional Municipality,Halifax,36 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59976725,-63.61140546
Families,2769,Halifax,Halifax Regional Municipality,Halifax,38 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59973786,-63.61144623
Families,2770,Halifax,Halifax Regional Municipality,Halifax,40 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59970218,-63.61148711
Families,2771,Halifax,Halifax Regional Municipality,Halifax,44 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59962256,-63.61155006
Families,2772,Halifax,Halifax Regional Municipality,Halifax,46 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59958706,-63.61161103
Families,2773,Halifax,Halifax Regional Municipality,Halifax,47 Lavender Walk,Metropolitan Regional Housing Authority,1,44.5997343,-63.6119149
Families,2774,Halifax,Halifax Regional Municipality,Halifax,48 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59955063,-63.61167329
Families,2775,Halifax,Halifax Regional Municipality,Halifax,49 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59968408,-63.61193577
Families,2776,Halifax,Halifax Regional Municipality,Halifax,51 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59964735,-63.61195654
Families,2777,Halifax,Halifax Regional Municipality,Halifax,52 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59942086,-63.61176728
Families,2778,Halifax,Halifax Regional Municipality,Halifax,54 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59939997,-63.61185826
Families,2779,Halifax,Halifax Regional Municipality,Halifax,55 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59956804,-63.61205976
Families,2780,Halifax,Halifax Regional Municipality,Halifax,56 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59939318,-63.61191002
Families,2781,Halifax,Halifax Regional Municipality,Halifax,57 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59953248,-63.61212081
Families,2782,Halifax,Halifax Regional Municipality,Halifax,59 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59949698,-63.612183
Families,2783,Halifax,Halifax Regional Municipality,Halifax,60 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59932804,-63.61198158
Families,2784,Halifax,Halifax Regional Municipality,Halifax,62 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59929236,-63.61202367
Families,2785,Halifax,Halifax Regional Municipality,Halifax,63 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59938862,-63.6122502
Families,2786,Halifax,Halifax Regional Municipality,Halifax,64 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59922773,-63.61204349
Families,2787,Halifax,Halifax Regional Municipality,Halifax,65 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59933781,-63.61231777
Families,2788,Halifax,Halifax Regional Municipality,Halifax,67 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59928447,-63.61240043
Families,2789,Halifax,Halifax Regional Municipality,Halifax,68 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59917095,-63.61215021
Families,2790,Halifax,Halifax Regional Municipality,Halifax,71 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59923809,-63.61245405
Families,2791,Halifax,Halifax Regional Municipality,Halifax,72 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59913881,-63.61218217
Families,2792,Halifax,Halifax Regional Municipality,Halifax,73 Lavender Walk,Metropolitan Regional Housing Authority,1,44.5991846,-63.61252158
Families,2793,Halifax,Halifax Regional Municipality,Halifax,75 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59913561,-63.61258404
Families,2794,Halifax,Halifax Regional Municipality,Halifax,76 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59906134,-63.61228915
Families,2795,Halifax,Halifax Regional Municipality,Halifax,78 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59903117,-63.61234253
Families,2796,Halifax,Halifax Regional Municipality,Halifax,80 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59899544,-63.6123834
Families,2797,Halifax,Halifax Regional Municipality,Halifax,84 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59890324,-63.61255865
Families,2798,Halifax,Halifax Regional Municipality,Halifax,86 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59887471,-63.61259936
Families,2799,Halifax,Halifax Regional Municipality,Halifax,88 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59886091,-63.61267016
Families,2800,Halifax,Halifax Regional Municipality,Halifax,92 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59879582,-63.61275302
Families,2801,Halifax,Halifax Regional Municipality,Halifax,93 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59897209,-63.61296445
Families,2802,Halifax,Halifax Regional Municipality,Halifax,15 Goldfinch Walk,Metropolitan Regional Housing Authority,1,44.60175899,-63.61280109
Families,2803,Halifax,Halifax Regional Municipality,Halifax,94 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59877463,-63.61280373
Families,2804,Halifax,Halifax Regional Municipality,Halifax,96 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59873099,-63.61286608
Families,2805,Halifax,Halifax Regional Municipality,Halifax,95 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59894375,-63.61302533
Families,2806,Halifax,Halifax Regional Municipality,Halifax,97 Lavender Walk,Metropolitan Regional Housing Authority,1,44.5989218,-63.61309751
Families,2807,Halifax,Halifax Regional Municipality,Halifax,100 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59869616,-63.61301907
Families,2808,Halifax,Halifax Regional Municipality,Halifax,101 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59889381,-63.61319997
Families,2809,Halifax,Halifax Regional Municipality,Halifax,102 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59868265,-63.61313136
Families,2810,Halifax,Halifax Regional Municipality,Halifax,103 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59888715,-63.6132706
Families,2811,Halifax,Halifax Regional Municipality,Halifax,104 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59867617,-63.61322339
Families,2812,Halifax,Halifax Regional Municipality,Halifax,105 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59889491,-63.61334227
Families,2813,Halifax,Halifax Regional Municipality,Halifax,108 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59866273,-63.61334577
Families,2814,Halifax,Halifax Regional Municipality,Halifax,112 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59865662,-63.61348824
Families,2815,Halifax,Halifax Regional Municipality,Halifax,110 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59865607,-63.61341648
Families,2816,Halifax,Halifax Regional Municipality,Halifax,115 Lavender Walk,Metropolitan Regional Housing Authority,1,44.5989263,-63.6136769
Families,2817,Halifax,Halifax Regional Municipality,Halifax,113 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59895552,-63.61361594
Families,2818,Halifax,Halifax Regional Municipality,Halifax,116 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863558,-63.61367123
Families,2819,Halifax,Halifax Regional Municipality,Halifax,117 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59889086,-63.61374917
Families,2820,Halifax,Halifax Regional Municipality,Halifax,118 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863594,-63.61372282
Families,2821,Halifax,Halifax Regional Municipality,Halifax,120 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863655,-63.61380345
Families,2822,Halifax,Halifax Regional Municipality,Halifax,123 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59886349,-63.61393226
Families,2823,Halifax,Halifax Regional Municipality,Halifax,121 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59886276,-63.61384032
Families,2824,Halifax,Halifax Regional Municipality,Halifax,124 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863752,-63.61392565
Families,2825,Halifax,Halifax Regional Municipality,Halifax,125 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59886403,-63.61400403
Families,2826,Halifax,Halifax Regional Municipality,Halifax,126 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863807,-63.61399742
Families,2827,Halifax,Halifax Regional Municipality,Halifax,128 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59863856,-63.61405787
Families,2828,Halifax,Halifax Regional Municipality,Halifax,132 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59869666,-63.61423584
Families,2829,Halifax,Halifax Regional Municipality,Halifax,134 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59872703,-63.61432736
Families,2830,Halifax,Halifax Regional Municipality,Halifax,136 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59876374,-63.61441878
Families,2831,Halifax,Halifax Regional Municipality,Halifax,140 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59880046,-63.6145089
Families,2832,Halifax,Halifax Regional Municipality,Halifax,142 Lavender Walk,Metropolitan Regional Housing Authority,1,44.5988235,-63.61458033
Families,2833,Halifax,Halifax Regional Municipality,Halifax,144 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59885282,-63.61465045
Families,2834,Halifax,Halifax Regional Municipality,Halifax,148 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59899322,-63.61476542
Families,2835,Halifax,Halifax Regional Municipality,Halifax,150 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59904444,-63.61475335
Families,2836,Halifax,Halifax Regional Municipality,Halifax,152 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59910198,-63.6147424
Families,2837,Halifax,Halifax Regional Municipality,Halifax,156 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59919645,-63.61474096
Families,2838,Halifax,Halifax Regional Municipality,Halifax,158 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59924045,-63.6147302
Families,2839,Halifax,Halifax Regional Municipality,Halifax,160 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59929079,-63.61471934
Families,2840,Halifax,Halifax Regional Municipality,Halifax,2452 Gottingen St,Metropolitan Regional Housing Authority,4,44.65599615,-63.58952818
Families,2841,Halifax,Halifax Regional Municipality,Halifax,2560 Gottingen St,Metropolitan Regional Housing Authority,3,44.6570907,-63.59113138
Families,2842,Halifax,Halifax Regional Municipality,Halifax,2448 Gottingen St,Metropolitan Regional Housing Authority,4,44.65591885,-63.58942479
Families,2843,Halifax,Halifax Regional Municipality,Halifax,5663 Cunard St,Metropolitan Regional Housing Authority,1,44.65231892,-63.5875067
Families,2844,Halifax,Halifax Regional Municipality,Halifax,5665 Cunard St,Metropolitan Regional Housing Authority,1,44.65229677,-63.5875511
Families,2845,Halifax,Halifax Regional Municipality,Halifax,5667 Cunard St,Metropolitan Regional Housing Authority,1,44.65226559,-63.58759069
Families,2846,Halifax,Halifax Regional Municipality,Halifax,5669 Cunard St,Metropolitan Regional Housing Authority,1,44.65223804,-63.58763528
Families,2847,Halifax,Halifax Regional Municipality,Halifax,5671 Cunard St,Metropolitan Regional Housing Authority,1,44.65221318,-63.58767599
Families,2848,Halifax,Halifax Regional Municipality,Halifax,2023 Maynard St,Metropolitan Regional Housing Authority,1,44.6503817,-63.58373956
Families,2849,Halifax,Halifax Regional Municipality,Halifax,2025 Maynard St,Metropolitan Regional Housing Authority,1,44.6504196,-63.58375037
Families,2850,Halifax,Halifax Regional Municipality,Halifax,2027 Maynard St,Metropolitan Regional Housing Authority,1,44.65046031,-63.58377993
Families,2851,Halifax,Halifax Regional Municipality,Halifax,2103 Maynard St,Metropolitan Regional Housing Authority,1,44.65108186,-63.58485948
Families,2852,Halifax,Halifax Regional Municipality,Halifax,2105 Maynard St,Metropolitan Regional Housing Authority,1,44.65111004,-63.58489437
Families,2853,Halifax,Halifax Regional Municipality,Halifax,2107 Maynard St,Metropolitan Regional Housing Authority,1,44.65113827,-63.58493301
Families,2854,Halifax,Halifax Regional Municipality,Halifax,2533 Gottingen St,Metropolitan Regional Housing Authority,1,44.65692486,-63.59019838
Families,2855,Halifax,Halifax Regional Municipality,Halifax,2531 Gottingen St,Metropolitan Regional Housing Authority,1,44.65689848,-63.5901622
Families,2856,Halifax,Halifax Regional Municipality,Halifax,2535 Gottingen St,Metropolitan Regional Housing Authority,1,44.65694596,-63.59024338
Families,2857,Halifax,Halifax Regional Municipality,Halifax,2537 Gottingen St,Metropolitan Regional Housing Authority,1,44.65697244,-63.59029341
Families,2858,Halifax,Halifax Regional Municipality,Halifax,2539 Gottingen St,Metropolitan Regional Housing Authority,1,44.6570033,-63.59032825
Families,2859,Halifax,Halifax Regional Municipality,Halifax,2541 Gottingen St,Metropolitan Regional Housing Authority,1,44.6570315,-63.59036063
Families,2860,Halifax,Halifax Regional Municipality,Halifax,2023 Bauer St,Metropolitan Regional Housing Authority,1,44.65020246,-63.58450767
Families,2861,Halifax,Halifax Regional Municipality,Halifax,2025 Bauer St,Metropolitan Regional Housing Authority,1,44.65023854,-63.58452228
Families,2862,Halifax,Halifax Regional Municipality,Halifax,1 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60319838,-63.61156609
Families,2863,Halifax,Halifax Regional Municipality,Halifax,3 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60314648,-63.61160843
Families,2864,Halifax,Halifax Regional Municipality,Halifax,7 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60308064,-63.61170268
Families,2865,Halifax,Halifax Regional Municipality,Halifax,15 Orange Walk,Metropolitan Regional Housing Authority,1,44.60038661,-63.61078506
Families,2866,Halifax,Halifax Regional Municipality,Halifax,6 Forbes St,Metropolitan Regional Housing Authority,1,44.60279325,-63.60912709
Families,2867,Halifax,Halifax Regional Municipality,Halifax,8 Forbes St,Metropolitan Regional Housing Authority,1,44.60282972,-63.60918703
Families,2868,Halifax,Halifax Regional Municipality,Halifax,10 Forbes St,Metropolitan Regional Housing Authority,1,44.60285906,-63.60925584
Families,2869,Halifax,Halifax Regional Municipality,Halifax,6 Cranberry Crt,Metropolitan Regional Housing Authority,1,44.59989362,-63.61285376
Families,2870,Halifax,Halifax Regional Municipality,Halifax,12 Forbes St,Metropolitan Regional Housing Authority,1,44.60289175,-63.60929564
Families,2871,Halifax,Halifax Regional Municipality,Halifax,14 Forbes St,Metropolitan Regional Housing Authority,1,44.60300687,-63.60939969
Families,2872,Halifax,Halifax Regional Municipality,Halifax,4 Indigo Walk,Metropolitan Regional Housing Authority,1,44.59975756,-63.6140546
Families,2873,Halifax,Halifax Regional Municipality,Halifax,16 Forbes St,Metropolitan Regional Housing Authority,1,44.60305671,-63.60932845
Families,2874,Halifax,Halifax Regional Municipality,Halifax,6 Indigo Walk,Metropolitan Regional Housing Authority,1,44.59979141,-63.61408469
Families,2875,Halifax,Halifax Regional Municipality,Halifax,18 Forbes St,Metropolitan Regional Housing Authority,1,44.60307707,-63.60928277
Families,2876,Halifax,Halifax Regional Municipality,Halifax,20 Forbes St,Metropolitan Regional Housing Authority,1,44.60310205,-63.60925211
Families,2877,Halifax,Halifax Regional Municipality,Halifax,8 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60244183,-63.61161535
Families,2878,Halifax,Halifax Regional Municipality,Halifax,70 Lavender Walk,Metropolitan Regional Housing Authority,1,44.59926448,-63.61207842
Families,2879,Halifax,Halifax Regional Municipality,Halifax,7 Orange Walk,Metropolitan Regional Housing Authority,1,44.60067773,-63.61129796
Families,2880,Halifax,Halifax Regional Municipality,Halifax,10 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60238377,-63.61166795
Families,2881,Halifax,Halifax Regional Municipality,Halifax,2398 Maynard St,Metropolitan Regional Housing Authority,1,44.65359254,-63.58899341
Families,2882,Halifax,Halifax Regional Municipality,Halifax,2400 Maynard St,Metropolitan Regional Housing Authority,1,44.65362536,-63.58904203
Families,2883,Halifax,Halifax Regional Municipality,Halifax,5656 West St,Metropolitan Regional Housing Authority,1,44.65359922,-63.58915219
Families,2884,Halifax,Halifax Regional Municipality,Halifax,5658 West St,Metropolitan Regional Housing Authority,1,44.65357528,-63.58919543
Families,2885,Halifax,Halifax Regional Municipality,Halifax,28 Gebhardt St,Metropolitan Regional Housing Authority,4,44.65802355,-63.64130202
Families,2886,Halifax,Halifax Regional Municipality,Eastern Passage,5 Sandlewood Terr,Metropolitan Regional Housing Authority,1,44.61416297,-63.48284663
Families,2887,Halifax,Halifax Regional Municipality,Eastern Passage,7 Sandlewood Terr,Metropolitan Regional Housing Authority,1,44.61420652,-63.48278669
Families,2888,Halifax,Halifax Regional Municipality,Halifax,5 Greystone Dr,Metropolitan Regional Housing Authority,1,44.60311005,-63.61167069
Families,2889,Halifax,Halifax Regional Municipality,Lower Sackville,4 Rankin Dr,Metropolitan Regional Housing Authority,1,44.77999267,-63.68441077
Families,2890,Halifax,Halifax Regional Municipality,Lower Sackville,8 Rankin Dr,Metropolitan Regional Housing Authority,1,44.78015232,-63.68433643
Families,2891,Halifax,Halifax Regional Municipality,East Preston,17 William St,Metropolitan Regional Housing Authority,1,44.73147987,-63.40656518
Families,2892,Halifax,Halifax Regional Municipality,East Preston,21 William St,Metropolitan Regional Housing Authority,1,44.73165377,-63.40593061
Families,2893,Halifax,Halifax Regional Municipality,Sheet Harbour,270 East River Rd,Metropolitan Regional Housing Authority,1,44.92495999,-62.50529803
Families,2894,Halifax,Halifax Regional Municipality,Sheet Harbour,260 East River Rd,Metropolitan Regional Housing Authority,1,44.92466773,-62.50572361
Families,2895,Halifax,Halifax Regional Municipality,Prospect,1139 Prospect Bay Rd,Metropolitan Regional Housing Authority,1,44.48668053,-63.7976484
Families,2896,Halifax,Halifax Regional Municipality,Lower Sackville,238 Cobequid Rd,Metropolitan Regional Housing Authority,1,44.76063858,-63.65891954
Families,2897,Halifax,Halifax Regional Municipality,Prospect,1171 Prospect Bay Rd,Metropolitan Regional Housing Authority,1,44.48522002,-63.7972385
Families,2898,Halifax,Halifax Regional Municipality,Lower Sackville,240 Cobequid Rd,Metropolitan Regional Housing Authority,1,44.7606857,-63.65884176
Families,2899,Halifax,Halifax Regional Municipality,Lower Sackville,6 Nelson Dr,Metropolitan Regional Housing Authority,1,44.7607963,-63.65895388
Families,2900,Halifax,Halifax Regional Municipality,Lower Sackville,8 Nelson Dr,Metropolitan Regional Housing Authority,1,44.76083811,-63.65901139
Families,2901,Halifax,Halifax Regional Municipality,Lower Sackville,18 Sami Dr,Metropolitan Regional Housing Authority,1,44.75908187,-63.67262816
Families,2902,Halifax,Halifax Regional Municipality,Lower Sackville,20 Sami Dr,Metropolitan Regional Housing Authority,1,44.75902015,-63.67267582
Families,2903,Halifax,Halifax Regional Municipality,Lower Sackville,26 Lakehead Crt,Metropolitan Regional Housing Authority,1,44.77858042,-63.67263024
Families,2904,Halifax,Halifax Regional Municipality,Lower Sackville,28 Lakehead Crt,Metropolitan Regional Housing Authority,1,44.778644,-63.67258258
Families,2905,Halifax,Halifax Regional Municipality,Lower Sackville,41 Armoyan Dr,Metropolitan Regional Housing Authority,1,44.75962986,-63.67385318
Families,2906,Halifax,Halifax Regional Municipality,Lower Sackville,43 Armoyan Dr,Metropolitan Regional Housing Authority,1,44.75962509,-63.67394295
Families,2907,Halifax,Halifax Regional Municipality,Eastern Passage,114 Briarwood Dr,Metropolitan Regional Housing Authority,1,44.61488217,-63.4812478
Families,2908,Halifax,Halifax Regional Municipality,Eastern Passage,122 Briarwood Dr,Metropolitan Regional Housing Authority,1,44.61513332,-63.48094983
Families,2909,Halifax,Halifax Regional Municipality,Eastern Passage,124 Briarwood Dr,Metropolitan Regional Housing Authority,1,44.61506606,-63.48097865
Families,2910,Halifax,Halifax Regional Municipality,Eastern Passage,116 Briarwood Dr,Metropolitan Regional Housing Authority,1,44.61481481,-63.48126157
Families,2911,Halifax,Halifax Regional Municipality,Whites Lake,261 Powers Rd,Metropolitan Regional Housing Authority,1,44.51593245,-63.76504531
Families,2912,Halifax,Halifax Regional Municipality,Whites Lake,283 Powers Rd,Metropolitan Regional Housing Authority,1,44.51518024,-63.76563339
Families,2913,Halifax,Halifax Regional Municipality,Head of Jeddore,54 West Jeddore Rd,Metropolitan Regional Housing Authority,1,44.77637187,-63.07776185
Families,2914,Halifax,Halifax Regional Municipality,Sheet Harbour,320 East River Rd,Metropolitan Regional Housing Authority,1,44.92718472,-62.50391486
Families,2915,Halifax,Halifax Regional Municipality,Sheet Harbour,326 East River Rd,Metropolitan Regional Housing Authority,1,44.92743907,-62.50374134
Families,2916,Halifax,Halifax Regional Municipality,Westphal,28 Neilson Dr,Metropolitan Regional Housing Authority,1,44.7043966,-63.4705165
Families,2917,Halifax,Halifax Regional Municipality,Westphal,30 Neilson Dr,Metropolitan Regional Housing Authority,1,44.70465005,-63.47078083
Families,2918,Halifax,Halifax Regional Municipality,Lower Sackville,1 Nelson Dr,Metropolitan Regional Housing Authority,1,44.76105868,-63.65853067
Families,2919,Halifax,Halifax Regional Municipality,Lower Sackville,3 Nelson Dr,Metropolitan Regional Housing Authority,1,44.76110671,-63.65857797
Families,2920,Halifax,Halifax Regional Municipality,Beaver Bank,11 William Nelson Dr,Metropolitan Regional Housing Authority,2,44.84269961,-63.66674019
Families,2921,Halifax,Halifax Regional Municipality,Eastern Passage,19 Osborne Dr,Metropolitan Regional Housing Authority,1,44.60391778,-63.47021999
Families,2922,Halifax,Halifax Regional Municipality,Timberlea,42 Mountain Maple Dr,Metropolitan Regional Housing Authority,1,44.65649744,-63.74090996
Families,2923,Halifax,Halifax Regional Municipality,Cole Harbour,156 Silistria Dr,Metropolitan Regional Housing Authority,1,44.67342676,-63.48640547
Families,2924,Halifax,Halifax Regional Municipality,Head of Jeddore,9259 Highway 7,Metropolitan Regional Housing Authority,1,44.77863409,-63.07622543
Families,2925,Halifax,Halifax Regional Municipality,Lower Sackville,47 Tillock Dr,Metropolitan Regional Housing Authority,1,44.77040058,-63.67522072
Families,2926,Halifax,Halifax Regional Municipality,Lower Sackville,49 Tillock Dr,Metropolitan Regional Housing Authority,1,44.77047287,-63.67526391
Families,2927,Halifax,Halifax Regional Municipality,Lower Sackville,54 Bruce Dr,Metropolitan Regional Housing Authority,1,44.76638362,-63.68860317
Families,2928,Halifax,Halifax Regional Municipality,Timberlea,13 Tiger Maple Dr,Metropolitan Regional Housing Authority,1,44.6558382,-63.74260691
Families,2929,Halifax,Halifax Regional Municipality,Westphal,6 Odell Dr,Metropolitan Regional Housing Authority,1,44.69717382,-63.4899106
Families,2930,Halifax,Halifax Regional Municipality,Eastern Passage,53 Ainslie Cres,Metropolitan Regional Housing Authority,1,44.60562395,-63.47801322
Families,2931,Halifax,Halifax Regional Municipality,Eastern Passage,28 Briarwood Dr,Metropolitan Regional Housing Authority,1,44.61276398,-63.48564047
Families,2932,Halifax,Halifax Regional Municipality,Eastern Passage,16 Sandlewood Terr,Metropolitan Regional Housing Authority,1,44.61487268,-63.48250543
Families,2933,Halifax,Halifax Regional Municipality,Eastern Passage,7 Adele Crt,Metropolitan Regional Housing Authority,1,44.60350562,-63.47182342
Families,2934,Halifax,Halifax Regional Municipality,Cole Harbour,1389 Cole Harbour Rd,Metropolitan Regional Housing Authority,1,44.67288847,-63.47259783
Families,2935,Halifax,Halifax Regional Municipality,Lower Sackville,24 Malik Crt,Metropolitan Regional Housing Authority,1,44.75982824,-63.66156492
Families,2936,Halifax,Halifax Regional Municipality,Bedford,28 Wardour St,Metropolitan Regional Housing Authority,1,44.7288225,-63.65651999
Families,2937,Halifax,Halifax Regional Municipality,Bedford,1078 Bedford Hwy,Metropolitan Regional Housing Authority,1,44.71913986,-63.67413167
Families,2941,Halifax,Halifax Regional Municipality,East Preston,1864 Highway 7,Metropolitan Regional Housing Authority,1,44.71223691,-63.43889383
Seniors,167,Halifax,Halifax Regional Municipality,Dartmouth,Alderney Manor (GR),Metropolitan Regional Housing Authority,199,44.66691047,-63.5713989
Seniors,168,Halifax,Halifax Regional Municipality,Dartmouth,Eastwood Manor (GR),Metropolitan Regional Housing Authority,137,44.67275914,-63.56520292
Seniors,169,Halifax,Halifax Regional Municipality,Dartmouth,"Crathorne I, 16 Jamieson",Metropolitan Regional Housing Authority,30,44.67048562,-63.5851444
Seniors,170,Halifax,Halifax Regional Municipality,Dartmouth,"Crathorne II, 14 Jamieson",Metropolitan Regional Housing Authority,6,44.67065034,-63.58550518
Seniors,171,Halifax,Halifax Regional Municipality,Dartmouth,Nantucket Place (GR),Metropolitan Regional Housing Authority,70,44.66661073,-63.5689695
Seniors,172,Halifax,Halifax Regional Municipality,Dartmouth,Acadia Place (FH Demo),Metropolitan Regional Housing Authority,20,44.65281124,-63.54411569
Seniors,173,Halifax,Halifax Regional Municipality,Dartmouth,Edgemere (GR),Metropolitan Regional Housing Authority,65,44.67541731,-63.56436001
