"county","name","type","easting","northing","primary_stocking_objective","secondary_stocking_objective","number_released","stocking_date","growth_stage","mark","hatchery","fish_length_cm","fish_weight_g","stock","stock_strain"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1990-04-23T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","19.500","114.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"450","1990-06-04T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","152.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"600","1990-06-06T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","152.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1990-06-22T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","152.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"750","1993-06-18T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","101.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1994-05-18T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","21.000","125.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1994-06-17T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","143.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"500","1995-05-02T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","100.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1991-05-08T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","91.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1991-06-12T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","112.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1000","1992-05-01T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","21.000","114.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"500","1992-06-04T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","120.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Kings","AYLESFORD","Lake","368899","4978360","Spring Stocking Program",,"1050","1997-06-17T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","143.000","Brook Trout","Brook Trout - hybrids F2B generation produced by progeny of domestic female x Flat Lake male matings"
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"300","1976-05-17T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Mersey","19.800","117.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"199","1977-05-05T00:00:00.000","1-2 years from date of hatch","Adipose fin clip only","Mersey","16.500","56.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"520","1991-04-30T00:00:00.000","26-52 weeks after absorption of yolk sac","No mark or tag","McGowan Lake","20.000","112.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1700","1999-04-27T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","100.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1500","1999-06-01T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.000","100.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1026","2001-06-14T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","24.000","175.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1500","2002-05-07T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","20.000","100.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1120","2002-06-10T00:00:00.000","1-2 years from date of hatch","Both pelvic fins clipped","McGowan Lake","22.000","125.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
"Lunenburg","HIRTLE","Lake","360719","4925680","Spring Stocking Program",,"1558","2003-05-21T00:00:00.000","1-2 years from date of hatch","No mark or tag","McGowan Lake","22.500","120.000","Brook Trout","Brook Trout - Domestic stock - Antigonish "
