"region","variable","common_name","description","rcp45_p05_2010","rcp45_p05_2045","rcp45_p05_2065","rcp45_p05_2095","rcp45_p50_2010","rcp45_p50_2045","rcp45_p50_2065","rcp45_p50_2095","rcp45_p95_2010","rcp45_p95_2045","rcp45_p95_2065","rcp45_p95_2095","rcp85_p05_2010","rcp85_p05_2045","rcp85_p05_2065","rcp85_p05_2095","rcp85_p50_2010","rcp85_p50_2045","rcp85_p50_2065","rcp85_p50_2095","rcp85_p95_2010","rcp85_p95_2045","rcp85_p95_2065","rcp85_p95_2095"
"Nova Scotia","prcptot_annual","Total Precipitation","The total precipitation above 1 mm for the season.","1098.808259","1135.916734","1155.337214","1172.663797","1311.587272","1365.068587","1388.649033","1399.415468","1553.233235","1617.330068","1647.584816","1676.366445","1106.197414","1147.010377","1171.720315","1224.037","1315.468396","1368.94441","1401.193923","1456.498648","1559.815427","1636.257857","1669.216063","1714.349606"
"Nova Scotia","prcptot_spring","Total Precipitation","The total precipitation above 1 mm for the season.","214.6677489","223.8916009","235.6074533","234.6946946","306.7094856","322.6042558","329.9140919","334.5876801","424.5568804","438.0689148","452.9384845","452.9432153","214.1743472","231.9529251","225.0497254","241.5605944","308.106011","326.8561969","335.3668847","354.4425421","428.6017282","450.5053437","463.5828834","476.9490348"
"Nova Scotia","prcptot_summer","Total Precipitation","The total precipitation above 1 mm for the season.","162.9690247","170.7106179","171.2445927","169.7818164","260.2774622","268.7588676","269.8709104","269.4566863","388.1789507","406.9976903","411.4303048","407.7674645","165.3300468","173.2892475","169.440415","171.7313473","259.023203","265.2656471","266.7058856","278.2687213","390.287786","403.7342123","414.9620171","431.2585037"
"Nova Scotia","prcptot_fall","Total Precipitation","The total precipitation above 1 mm for the season.","240.754128","243.9859906","247.5133079","251.2630369","351.8937885","361.0249643","368.4731777","373.2675243","487.477447","508.5837926","506.510965","520.7653595","244.043922","239.6972404","249.857165","250.4568985","354.5338463","361.9386321","369.0503054","374.8894885","491.7244261","499.9021209","511.1422088","528.8256558"
"Nova Scotia","prcptot_winter","Total Precipitation","The total precipitation above 1 mm for the season.","276.5374193","293.9165517","299.7842807","300.3250204","377.6788932","396.9540949","403.5007644","413.604359","498.5469133","510.965864","518.9407137","538.5354022","274.3945504","286.8681368","300.1390722","321.4919643","376.295925","399.0924853","411.6617813","435.7441496","502.4417526","532.7332942","560.1076838","571.5503727"
"Nova Scotia","r1mm_annual","Number of Wet Days > 1mm","The number of days when the precipitation was above 1 mm","134.5602329","134.6933593","135.3782808","134.5283153","151.0195935","151.1181291","151.1427528","150.467121","166.5604783","167.8274512","167.1639487","166.0553527","134.6094702","134.961888","134.3939597","133.9614012","150.9111598","150.6915744","150.0226766","149.3437994","166.8469636","166.3726826","166.475863","165.0993469"
"Nova Scotia","r1mm_spring","Number of Wet Days > 1mm","The number of days when the precipitation was above 1 mm","29.60878261","29.5585169","30.34229849","30.12885887","37.55886171","37.88548132","38.14900004","38.01606426","45.98508377","46.39627196","46.36978216","45.8458886","29.45087826","29.79311184","29.56571742","30.45000203","37.66465863","38.0264898","37.8012251","38.02693603","46.33465985","45.69001258","45.73984828","46.21475802"
"Nova Scotia","r1mm_summer","Number of Wet Days > 1mm","The number of days when the precipitation was above 1 mm","23.75886374","24.05385177","24.12417346","24.02166241","31.5464687","31.72715103","31.83116304","31.57433776","39.83938988","40.22003164","40.18163563","40.07721796","23.91276622","24.19404892","24.09145674","23.34130461","31.51535435","31.56825281","31.55247252","31.40456777","39.62491785","39.66938461","39.6915541","39.53014077"
"Nova Scotia","r1mm_fall","Number of Wet Days > 1mm","The number of days when the precipitation was above 1 mm","29.35529187","28.57508823","28.63648534","28.94600625","36.75264695","36.42955661","36.18644274","36.337106","44.47354266","44.93580382","44.56821224","44.00569957","29.31622855","28.18755831","28.12950793","27.37469068","36.8089327","36.30948035","35.99939151","35.19686828","44.75580098","44.53843657","43.89174881","43.410673"
"Nova Scotia","r1mm_winter","Number of Wet Days > 1mm","The number of days when the precipitation was above 1 mm","36.11208065","36.65733642","36.87335199","36.15380715","44.78619529","44.65729585","44.73396617","44.32810028","52.76877409","53.19729423","52.94140197","52.54841589","36.15880897","36.50054765","36.45643179","36.4365543","44.71114762","44.70167539","44.63250984","44.67311671","52.59768366","52.85276459","52.89391911","52.50823496"
"Nova Scotia","r10mm_annual","Number of Wet Days > 10mm","The number of days when the precipitation was above 10 mm","34.73331914","36.35523914","36.62498479","36.80286804","43.74970589","45.44675672","46.03087096","46.40290455","53.44202466","55.37923411","56.13612024","56.5692264","34.93561924","36.31339499","36.80272606","38.23493976","43.85452923","45.27138858","46.18271064","47.33256257","53.77329114","55.44182792","56.60634457","57.18455641"
"Nova Scotia","r10mm_spring","Number of Wet Days > 10mm","The number of days when the precipitation was above 10 mm","6.200395521","6.528213866","6.992880613","6.994077319","10.36432599","10.95209119","11.23467608","11.43255852","15.46406637","16.13188106","16.44485011","16.20145227","6.209356618","6.9325788","6.663319946","7.076224088","10.45444404","11.17910024","11.34939759","11.82808","15.68318729","16.24226198","16.73459495","16.92769056"
"Nova Scotia","r10mm_summer","Number of Wet Days > 10mm","The number of days when the precipitation was above 10 mm","4.190124133","4.466918178","4.350087218","4.318871445","8.211614133","8.456330372","8.521804389","8.431909456","13.09913391","13.34154801","13.56977405","13.55638716","4.290973997","4.453450164","4.367652428","4.50488824","8.205752302","8.362541073","8.361567482","8.689992292","13.09390694","13.25449272","13.4772423","13.97898665"
"Nova Scotia","r10mm_fall","Number of Wet Days > 10mm","The number of days when the precipitation was above 10 mm","7.23165186","7.329276703","7.510283558","7.588921342","11.77629711","12.14445661","12.18392763","12.31142753","16.96172163","17.33838384","17.2716117","17.55251308","7.3385745","7.280130624","7.441503387","7.424161292","11.88391952","11.85343394","12.03500872","12.01630765","17.11297716","17.27307209","17.14163726","17.09839357"
"Nova Scotia","r10mm_winter","Number of Wet Days > 10mm","The number of days when the precipitation was above 10 mm","8.298399659","8.854062716","9.117114924","9.031621435","12.88890917","13.54691493","13.67563182","13.95902803","18.0465255","18.45959596","18.4553365","18.97833759","8.23966979","8.599488865","9.047239463","9.735365705","12.82120401","13.52302138","14.07212689","14.52496856","17.9167052","18.79885197","19.68112855","20.01598312"
